"","region","category","svy_fun","SE"
"1","North","Do this",187809,21191.8693835418
"2","North","Like to but can't afford",223536,20636.8369384279
"3","North","Don't want to",35998,7845.63329015145
"4","North","Does not apply",1608,1608.00000000055
"5","West","Do this",143733,18602.380783087
"6","West","Like to but can't afford",190962,20113.8899062494
"7","West","Don't want to",12411,7695.78127694999
"8","West","Does not apply",3254,2307.03309568748
"9","East","Do this",131902,16086.3487829026
"10","East","Like to but can't afford",142619,15218.2518105066
"11","East","Don't want to",17625,5210.24934637617
"12","East","Does not apply",0,0
"13","London and South East","Do this",240619,29889.9706589858
"14","London and South East","Like to but can't afford",254693,24175.640044996
"15","London and South East","Don't want to",12548,5192.49703925475
"16","London and South East","Does not apply",2241,2240.99999999921
"17","England","Do this",704063,43610.7298914237
"18","England","Like to but can't afford",811810,39821.5397378468
"19","England","Don't want to",78582,13204.4354994296
"20","England","Does not apply",7103,3595.29223012482
