"","region","category","svy_fun","SE"
"1","North","Do this",0.418328503556067,0.0345289534486303
"2","North","Like to but can't afford",0.497907344008589,0.0343123030485826
"3","North","Don't want to",0.0801824698018269,0.0169526014562207
"4","North","Does not apply",0.0035816826335168,0.00357751327016143
"5","West","Do this",0.410243749286448,0.0404629761170707
"6","West","Like to but can't afford",0.5450450964722,0.0411073728403559
"7","West","Don't want to",0.0354235643338281,0.0213739554694562
"8","West","Does not apply",0.00928758990752369,0.00656825174039347
"9","East","Do this",0.451493431366509,0.0392930178404239
"10","East","Like to but can't afford",0.48817714430456,0.0390273470710231
"11","East","Don't want to",0.0603294243289314,0.017388456749543
"12","East","Does not apply",0,0
"13","London and South East","Do this",0.471708543994229,0.0387308904932409
"14","London and South East","Like to but can't afford",0.499299158401964,0.0382682627771536
"15","London and South East","Don't want to",0.0245990499920604,0.0101064283892211
"16","London and South East","Does not apply",0.00439324761174748,0.00438708954976306
"17","England","Do this",0.439611303493223,0.0195000771399977
"18","England","Like to but can't afford",0.506887668133155,0.0193301863026112
"19","England","Don't want to",0.0490659720097555,0.00807223013391978
"20","England","Does not apply",0.00443505636386569,0.00224197891593119
