"","no_savings","mean","SE","definition"
"1","No savings",0.253611202350161,0.0123892289027467,"Under AHC MIS PRS"
"2","Has savings",0.746388797649839,0.0123892289027467,"Under AHC MIS PRS"
"3","No savings",0.355684752740941,0.0196867793607371,"No shared ownership ben limit PRS"
"4","Has savings",0.644315247259059,0.0196867793607371,"No shared ownership ben limit PRS"
"5","No savings",0.339173652516024,0.0185171864345665,"No shared ownership HRP work PRS"
"6","Has savings",0.660826347483976,0.0185171864345665,"No shared ownership HRP work PRS"
"7","No savings",0.336086608858566,0.0179866671765535,"No shared ownership not workless PRS"
"8","Has savings",0.663913391141434,0.0179866671765535,"No shared ownership not workless PRS"
"9","No savings",0.607021571335212,0.00417868855471785,"All working age"
"10","Has savings",0.392978428664788,0.00417868855471785,"All working age"
