"","HDAGE","mean","SE","definition"
"1","16 to 24",0.16234826511216,0.0143795123915046,"No shared ownership PRS"
"2","25 to 34",0.315594386704263,0.0146908343316004,"No shared ownership PRS"
"3","35 to 44",0.253454780326948,0.013025706888476,"No shared ownership PRS"
"4","45 to 54",0.161652381495948,0.0103802133663432,"No shared ownership PRS"
"5","55 to 64",0.106950186360681,0.00918609493045319,"No shared ownership PRS"
"6","16 to 24",0.150425134729664,0.012685148060117,"Under AHC MIS PRS"
"7","25 to 34",0.332452336916575,0.0141248713187112,"Under AHC MIS PRS"
"8","35 to 44",0.27908749962229,0.0131489761688828,"Under AHC MIS PRS"
"9","45 to 54",0.156415125511576,0.0106238763519299,"Under AHC MIS PRS"
"10","55 to 64",0.0816199032198947,0.00782112681622566,"Under AHC MIS PRS"
"11","16 to 24",0.177740711128266,0.0185039723692259,"No shared ownership ben limit PRS"
"12","25 to 34",0.357922536829239,0.0200576750599678,"No shared ownership ben limit PRS"
"13","35 to 44",0.252564606251091,0.0165169638855808,"No shared ownership ben limit PRS"
"14","45 to 54",0.139992464135719,0.0114773619157255,"No shared ownership ben limit PRS"
"15","55 to 64",0.0717796816556845,0.0101102307734436,"No shared ownership ben limit PRS"
"16","16 to 24",0.134148190306715,0.0139440694238819,"No shared ownership HRP work PRS"
"17","25 to 34",0.36504842666163,0.0206527687729114,"No shared ownership HRP work PRS"
"18","35 to 44",0.261233071793737,0.017283826652408,"No shared ownership HRP work PRS"
"19","45 to 54",0.157727761885471,0.0125237836316968,"No shared ownership HRP work PRS"
"20","55 to 64",0.0818425493524472,0.0117418998092257,"No shared ownership HRP work PRS"
"21","16 to 24",0.0509362616773004,0.00250822593243355,"All working age"
"22","25 to 34",0.236922506675634,0.00378778993796617,"All working age"
"23","35 to 44",0.271088755308109,0.00372571104779459,"All working age"
"24","45 to 54",0.231512269236068,0.00344414178070724,"All working age"
"25","55 to 64",0.209540207102889,0.00323316284394136,"All working age"
