"","FAMTYPBU","mean","SE","definition"
"1","Pen couple",0.00203589383999427,0.00102575301390876,"No shared ownership PRS"
"2","Pen single",0.00798830433404682,0.00247671891741659,"No shared ownership PRS"
"3","Couple + kids",0.193042652738123,0.0112112812781961,"No shared ownership PRS"
"4","Couple",0.121542472297593,0.0104547304650617,"No shared ownership PRS"
"5","Lone parent",0.226842106382632,0.0107411577788888,"No shared ownership PRS"
"6","Single",0.448548570407611,0.0163001188981071,"No shared ownership PRS"
"7","Pen couple",0.00225331021159219,0.00113486596572328,"Under AHC MIS PRS"
"8","Pen single",0.00288668580920796,0.00117996202885432,"Under AHC MIS PRS"
"9","Couple + kids",0.318481578149091,0.013534586345737,"Under AHC MIS PRS"
"10","Couple",0.128851514234665,0.0104068232424112,"Under AHC MIS PRS"
"11","Lone parent",0.250564406724455,0.011328334776824,"Under AHC MIS PRS"
"12","Single",0.296962504870988,0.0156281145625074,"Under AHC MIS PRS"
"13","Pen couple",0.000678342661262901,0.000678474815370553,"No shared ownership ben limit PRS"
"14","Pen single",0.000697871577844559,0.000697993909568206,"No shared ownership ben limit PRS"
"15","Couple + kids",0.212977194820472,0.0148022210802808,"No shared ownership ben limit PRS"
"16","Couple",0.136987308501742,0.0148720578621944,"No shared ownership ben limit PRS"
"17","Lone parent",0.201680290957882,0.012830188435873,"No shared ownership ben limit PRS"
"18","Single",0.446978991480797,0.0210747256763588,"No shared ownership ben limit PRS"
"19","Pen couple",0.00158004876218123,0.00112022649460237,"No shared ownership HRP work PRS"
"20","Pen single",0.00228774657583613,0.00132131114491113,"No shared ownership HRP work PRS"
"21","Couple + kids",0.223640586438546,0.0155704414406803,"No shared ownership HRP work PRS"
"22","Couple",0.146865625644633,0.0156956392499286,"No shared ownership HRP work PRS"
"23","Lone parent",0.179009024234456,0.0124194776577177,"No shared ownership HRP work PRS"
"24","Single",0.446616968344347,0.0208598343716123,"No shared ownership HRP work PRS"
"25","Pen couple",0.0102153371406245,0.000722775006823466,"All working age"
"26","Pen single",0.0151364996310737,0.000948896759747835,"All working age"
"27","Couple + kids",0.328927919804043,0.00390510135727596,"All working age"
"28","Couple",0.297546985385648,0.00394148805322848,"All working age"
"29","Lone parent",0.0940096259262763,0.00214014724491912,"All working age"
"30","Single",0.254163632112334,0.00393148628307848,"All working age"
