"","has_kids16","mean","SE","definition"
"1","No school age kids",0.590451399105384,0.0146595090236695,"No shared ownership PRS"
"2","Has school age kids",0.409548600894616,0.0146595090236695,"No shared ownership PRS"
"3","No school age kids",0.440563351098459,0.015557087754192,"Under AHC MIS PRS"
"4","Has school age kids",0.559436648901541,0.015557087754192,"Under AHC MIS PRS"
"5","No school age kids",0.595727877183792,0.0187669364741198,"No shared ownership ben limit PRS"
"6","Has school age kids",0.404272122816208,0.0187669364741198,"No shared ownership ben limit PRS"
"7","No school age kids",0.609316633570351,0.0187353614776695,"No shared ownership HRP work PRS"
"8","Has school age kids",0.390683366429649,0.0187353614776695,"No shared ownership HRP work PRS"
"9","No school age kids",0.592533805262906,0.00409549874354669,"All working age"
"10","Has school age kids",0.407466194737094,0.00409549874354669,"All working age"
