"","GVTREGN","mean","SE","definition"
"1","North East",0.050901245500508,0.00667534977085237,"No shared ownership PRS"
"2","North West",0.105923908689293,0.00781005087477422,"No shared ownership PRS"
"3","Yorks & Humber",0.0772597429023771,0.00762765401014967,"No shared ownership PRS"
"4","East Midlands",0.0765464887832636,0.00706071242640868,"No shared ownership PRS"
"5","West Midlands",0.0841831290585826,0.00835582589830445,"No shared ownership PRS"
"6","East",0.0915815452941181,0.00766698802733268,"No shared ownership PRS"
"7","London",0.257520187005871,0.0165193736074062,"No shared ownership PRS"
"8","South East",0.153746675675695,0.010761489206806,"No shared ownership PRS"
"9","South West",0.102337077090292,0.0089737898599852,"No shared ownership PRS"
"10","North East",0.0450112645889279,0.00555283039902059,"Under AHC MIS PRS"
"11","North West",0.131490579224731,0.00893621094746655,"Under AHC MIS PRS"
"12","Yorks & Humber",0.103044401826979,0.00908942016075581,"Under AHC MIS PRS"
"13","East Midlands",0.0919516954962443,0.00796012108427548,"Under AHC MIS PRS"
"14","West Midlands",0.0922373816394068,0.008147051508609,"Under AHC MIS PRS"
"15","East",0.0800615794911883,0.00681282834989524,"Under AHC MIS PRS"
"16","London",0.210948607495886,0.0147484722550167,"Under AHC MIS PRS"
"17","South East",0.135682473979212,0.0100400867396215,"Under AHC MIS PRS"
"18","South West",0.109572016257425,0.00944083379704105,"Under AHC MIS PRS"
"19","North East",0.0472777839044967,0.00892039423709659,"No shared ownership ben limit PRS"
"20","North West",0.0759669111227519,0.00843131504196418,"No shared ownership ben limit PRS"
"21","Yorks & Humber",0.053787231305083,0.00713881943682398,"No shared ownership ben limit PRS"
"22","East Midlands",0.0752420436896327,0.0092362673886583,"No shared ownership ben limit PRS"
"23","West Midlands",0.0770565097920285,0.0104315172212878,"No shared ownership ben limit PRS"
"24","East",0.107222942111696,0.0109334637791892,"No shared ownership ben limit PRS"
"25","London",0.294842413130784,0.0214889961722151,"No shared ownership ben limit PRS"
"26","South East",0.158388129175742,0.0134987926284143,"No shared ownership ben limit PRS"
"27","South West",0.110216035767785,0.0123894179653695,"No shared ownership ben limit PRS"
"28","North East",0.0406276950300849,0.00914583756474186,"No shared ownership HRP work PRS"
"29","North West",0.0757218020633212,0.0088950050881906,"No shared ownership HRP work PRS"
"30","Yorks & Humber",0.0552662907190309,0.00879485029526155,"No shared ownership HRP work PRS"
"31","East Midlands",0.0690934260527238,0.00872988038509702,"No shared ownership HRP work PRS"
"32","West Midlands",0.0680321899985337,0.0086497049419323,"No shared ownership HRP work PRS"
"33","East",0.107491779769908,0.0113411291640056,"No shared ownership HRP work PRS"
"34","London",0.297272225687877,0.0208301552747071,"No shared ownership HRP work PRS"
"35","South East",0.172624831929536,0.0145542667928838,"No shared ownership HRP work PRS"
"36","South West",0.113869758748984,0.0127466653608608,"No shared ownership HRP work PRS"
"37","North East",0.0501195435166848,0.00177432676017215,"All working age"
"38","North West",0.133170968776219,0.00271361599047781,"All working age"
"39","Yorks & Humber",0.101540562961962,0.00248665863118243,"All working age"
"40","East Midlands",0.0874158255679965,0.00224669549767906,"All working age"
"41","West Midlands",0.0997106178063524,0.00244835118435186,"All working age"
"42","East",0.107868471217546,0.00245032986580585,"All working age"
"43","London",0.159994578853969,0.00371192528562551,"All working age"
"44","South East",0.159076060020228,0.00298830161856826,"All working age"
"45","South West",0.101103371279043,0.00258531282153183,"All working age"
