"","region","category","svy_fun","SE"
"1","North","16 to 24",0.156891788155167,0.0316727574473695
"2","North","25 to 34",0.259895775209921,0.0344683260882444
"3","North","35 to 44",0.256294237201013,0.0343669694582986
"4","North","45 to 54",0.188067918581569,0.0297524786933414
"5","North","55 to 64",0.13885028085233,0.0331369356179742
"6","West","16 to 24",0.28853557146557,0.056284557130345
"7","West","25 to 34",0.252097151561176,0.0412595107957008
"8","West","35 to 44",0.202889262496214,0.037426453101073
"9","West","45 to 54",0.161837328639343,0.0321384427528464
"10","West","55 to 64",0.0946406858376974,0.0242134726493742
"11","East","16 to 24",0.183354023202306,0.0349679166593557
"12","East","25 to 34",0.268512715171268,0.0375627158016149
"13","East","35 to 44",0.250041447131656,0.0411918930351284
"14","East","45 to 54",0.145877728939803,0.0290096428610045
"15","East","55 to 64",0.152214085554967,0.0280088655642727
"16","London and South East","16 to 24",0.129438905236694,0.0219001987040615
"17","London and South East","25 to 34",0.352503713967374,0.0355156039775388
"18","London and South East","35 to 44",0.29154465331543,0.0367357629906902
"19","London and South East","45 to 54",0.141603933948519,0.0240210691039878
"20","London and South East","55 to 64",0.084908793531983,0.017129581072802
"21","England","16 to 24",0.17279036898503,0.0171424715222056
"22","England","25 to 34",0.299132820935526,0.0196917140390271
"23","England","35 to 44",0.260824710508263,0.0201485208750779
"24","England","45 to 54",0.156185403950958,0.0143424598715698
"25","England","55 to 64",0.111066695620224,0.0124148849036647
