"","region","category","svy_fun","SE"
"1","North","Do this",0.207751355746505,0.0333450921251965
"2","North","Like to but can't afford",0.730111698352432,0.0362145720616301
"3","North","Don't want to",0.0548155702404167,0.0174079882942189
"4","North","Does not apply",0.00732137566064649,0.00729293400519532
"5","West","Do this",0.308588441456262,0.0461772624853511
"6","West","Like to but can't afford",0.626130999213218,0.0488521228648624
"7","West","Don't want to",0.0590354767184035,0.0214876773203734
"8","West","Does not apply",0.00624508261211644,0.00624074732537917
"9","East","Do this",0.300180260619793,0.0411823935487017
"10","East","Like to but can't afford",0.63415096405738,0.0428734824217058
"11","East","Don't want to",0.060206204671614,0.0189954751748563
"12","East","Does not apply",0.00546257065121255,0.00545487335789658
"13","London and South East","Do this",0.334104620209915,0.036346412414868
"14","London and South East","Like to but can't afford",0.613304973426327,0.0370086683947531
"15","London and South East","Don't want to",0.0484023735849817,0.0140455679328025
"16","London and South East","Does not apply",0.00418803277877624,0.00418253766552157
"17","England","Do this",0.295224314821653,0.0203954950356794
"18","England","Like to but can't afford",0.645467180895718,0.0210944043597746
"19","England","Don't want to",0.0538313944390183,0.00871786236742472
"20","England","Does not apply",0.00547710984361136,0.00281428156041758
