"","region","category","svy_fun","SE"
"1","North","Employed",0.428322630171082,0.0409930767037086
"2","North","Family worker",0.00487644864680241,0.00486906688828055
"3","North","Unemployed",0.115611060948845,0.0254751114475983
"4","North","Inactive",0.451189860233271,0.0402889620635466
"5","West","Employed",0.532854277047878,0.0523818392480707
"6","West","Family worker",0.00591723768595622,0.00591422368833181
"7","West","Unemployed",0.124222484625278,0.0521483331955468
"8","West","Inactive",0.337006000640888,0.0455070576325847
"9","East","Employed",0.522343036679701,0.0437498177433137
"10","East","Family worker",0,0
"11","East","Unemployed",0.11741062583147,0.0263074063723379
"12","East","Inactive",0.36024633748883,0.0428213352301463
"13","London and South East","Employed",0.623544767591349,0.0354958390425325
"14","London and South East","Family worker",0,0
"15","London and South East","Unemployed",0.104167857040825,0.0239173469469895
"16","London and South East","Inactive",0.272287375367826,0.0315091554371556
"17","England","Employed",0.545838915534009,0.0215550830569905
"18","England","Family worker",0.00209637777478892,0.00148293722827331
"19","England","Unemployed",0.112604039321735,0.0154329185203141
"20","England","Inactive",0.339460667369467,0.0197831724578851
