"","region","category","svy_fun","SE"
"1","North","No carer",0.877104701613421,0.0248146436560031
"2","North","Has carer",0.122895298386579,0.0248146436560031
"3","West","No carer",0.875378057934498,0.0295569984746847
"4","West","Has carer",0.124621942065502,0.0295569984746847
"5","East","No carer",0.912576879374694,0.0237621899198013
"6","East","Has carer",0.0874231206253058,0.0237621899198013
"7","London and South East","No carer",0.9187319658315,0.0221627168825564
"8","London and South East","Has carer",0.0812680341684998,0.0221627168825564
"9","England","No carer",0.900917973020595,0.0127181798222862
"10","England","Has carer",0.0990820269794052,0.0127181798222862
