"","region","category","svy_fun","SE"
"1","North","No school age kids",0.607040076832811,0.038861060526065
"2","North","Has school age kids",0.392959923167189,0.038861060526065
"3","West","No school age kids",0.627389611472769,0.0470982601564321
"4","West","Has school age kids",0.372610388527231,0.0470982601564321
"5","East","No school age kids",0.574720080225472,0.043075002313584
"6","East","Has school age kids",0.425279919774528,0.043075002313584
"7","London and South East","No school age kids",0.567819186926835,0.035106013266485
"8","London and South East","Has school age kids",0.432180813073165,0.035106013266485
"9","England","No school age kids",0.588012926911555,0.0204844805942164
"10","England","Has school age kids",0.411987073088445,0.0204844805942164
