"","region","category","svy_fun","SE"
"1","North","Helps outside",0.0849049904128073,0.0211270123774035
"2","North","Doesn't",0.915095009587193,0.0211270123774035
"3","West","Helps outside",0.0710595279378778,0.0221439896593758
"4","West","Doesn't",0.928940472062122,0.0221439896593758
"5","East","Helps outside",0.0594129468708426,0.0192078011917706
"6","East","Doesn't",0.940587053129157,0.0192078011917706
"7","London and South East","Helps outside",0.0806716567151387,0.0260884527241866
"8","London and South East","Doesn't",0.919328343284861,0.0260884527241866
"9","England","Helps outside",0.076016611727543,0.0130538093150779
"10","England","Doesn't",0.923983388272457,0.0130538093150779
