"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_earn",2855.7325834079,1051.2736462652
"2","North West","hh_grossinc_earn",2924.70717751865,583.160036645736
"3","Yorks & Humber","hh_grossinc_earn",2720.80765193048,724.618030163941
"4","East Midlands","hh_grossinc_earn",2834.9796063926,704.37613367946
"5","West Midlands","hh_grossinc_earn",4038.86057476828,976.698187940213
"6","East","hh_grossinc_earn",6264.26305572653,933.792997539906
"7","London","hh_grossinc_earn",8327.05848321472,1212.20647440836
"8","South East","hh_grossinc_earn",6016.9298403471,801.125705340011
"9","South West","hh_grossinc_earn",4974.01061496245,850.71111248175
"10","England","hh_grossinc_earn",5393.2937431013,408.054468615335
