"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,0,0,0,0,0,1795.62764365197,5733.8885175715,9600.1222088201,0,0,0,0,0,1372.24323705977,2189.48564229107,6004.57052165412,5823.52315882298
"2","North West",0,0,0,0,0,0,1802.71536435468,6179.51388888889,13317.1666666667,0,0,0,0,0,400.487576353744,1569.59412699276,1739.60356131721,2766.76432444626
"3","Yorks & Humber",0,0,0,0,0,0,0,7848.36731045318,16223.6607190413,0,0,0,0,0,0,2651.30868773538,4627.09124277299,3271.59024198336
"4","East Midlands",0,0,0,0,0,0,0,7896.17844393393,12214.7651122625,0,0,0,0,0,59.6600533099449,2171.70224733372,3352.21226645413,2783.53468283973
"5","West Midlands",0,0,0,0,0,0,4873.31082303286,11262.5787105084,17590.2829029724,0,0,0,0,0,1821.11109145932,3811.97591857414,4330.5243920572,3519.26357840121
"6","East",0,0,0,0,0,6029.55023717851,9600.51130434782,18772.6876650685,25992.6691729323,0,0,0,0,1576.78443370564,2624.85052957086,3497.93315512091,4217.20688764565,3206.33795719429
"7","London",0,0,0,0,671.002114427865,6144.19381787803,13371.4657394844,23146.8730330282,28962.2875644094,0,0,0,225.387362862572,1575.62371253323,3224.97156411584,4227.05459238099,3885.58761538357,3579.41704522279
"8","South East",0,0,0,0,0,3950.98517672904,10381.924447425,13571.312117288,21357.4056603774,0,0,0,0,892.424149487583,2419.96789387004,1996.96791093946,1967.83095619942,1738.60811565574
"9","South West",0,0,0,0,83.6607858861272,5444.47274567661,7439.90503961962,15721.9951678822,17712.5648019035,0,0,0,790.974908112628,1518.08907315802,2365.16803713721,2866.36901683814,3018.40200231582,1970.72679896105
"10","England",0,0,0,0,0,1716.61228939226,7360.24193443262,13730.8601186209,22346.966795823,NA,NA,NA,NA,NA,NA,NA,NA,NA
