"","region","category","svy_fun","SE"
"1","North East","hh_grossinc",16409.525319114,1281.82206372635
"2","North West","hh_grossinc",13599.0138625335,600.574993136879
"3","Yorks & Humber","hh_grossinc",12207.1824721023,744.962049429307
"4","East Midlands","hh_grossinc",13202.3664546306,748.647827837942
"5","West Midlands","hh_grossinc",15021.4159809247,736.155969242261
"6","East","hh_grossinc",16743.8354560232,632.796788747418
"7","London","hh_grossinc",20492.4396060671,929.337012120869
"8","South East","hh_grossinc",16844.8722541256,791.91280336147
"9","South West","hh_grossinc",14323.9296350139,811.613866855489
"10","England","hh_grossinc",16372.2032449524,342.9021832155
