"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",5621.34434420541,6092.44798583444,8706.41981037924,11580.6137466307,13342.9562923426,15321.3372040341,18000.6223342939,20562.6577820417,22413.5723915244,1600.2417349614,1783.66579635445,1903.29322913759,2230.17483597477,2172.96906724037,2036.45967863788,2123.13314613371,1892.16290101204,1939.1770435169
"2","North West",5090.08863198459,7656.68184537853,8809.15923844062,9650.80363869812,11729.3308183506,14416.3988439306,15817.7429676876,16894.3380728879,17920.3798249575,1782.08463371123,808.230829574909,507.062736919907,817.569836627544,1248.07477889786,1095.32941097648,615.449878080904,469.621554493818,943.68192480786
"3","Yorks & Humber",3815.22618900556,6052.99764538584,6969.09473684211,8459.12496,9980.56476106058,12315.359694588,14185.8825751582,15514.8728749323,17048.5623940704,1288.08432658274,865.18563902894,948.677006912846,1459.92916049622,1283.76204064566,1391.00082865233,932.312896224624,878.77981752088,1586.63801157024
"4","East Midlands",5341.40864736216,7688.78970645777,9351.33580002825,11102.4628050765,12370.3944311377,13600.9386640398,14877.1712333225,16898.1895748084,17424.2134544205,601.166808113284,1079.62830526466,1101.15285785172,1047.90222440797,917.57366888191,708.052215846899,886.745335540414,648.070270631739,705.011573584531
"5","West Midlands",5052.06237082067,8417.52876446837,11182.4050897004,14263.1178667783,15494.1053668144,15544.8366922882,17254.4344256741,18216.924278438,20092.7902091363,1938.6568510559,1771.65809830236,1917.67610542357,1377.98785426307,1070.33594815093,679.993265012466,782.898091692331,809.767105010163,1120.79580750444
"6","East",7854.77701060752,10454.5444185248,12418.991524972,14260.7914704396,15855.6665496286,17198.6835699797,18575.6749421742,20215.6174384891,21621.5999317783,1036.49119746246,1058.52448497744,970.420429112272,910.434650247264,818.636729372561,846.344548009325,761.502155039209,537.322275492555,736.814163430704
"7","London",5452.04326123128,10556,13944.5447824201,17352.3463917526,20429.5065195587,22886.5031476938,24455.8552147239,27151.6936467099,28217.3869936034,1519.54223373758,2032.3024295321,1728.59993670088,1659.1337776882,1442.01896181197,1020.03134390948,1006.71675690545,925.566731398012,848.313411988348
"8","South East",4393.58432181537,9154.38830216981,10298.3253570391,13860.8115485564,16162.9922546547,17879.1515897182,19963.6709092593,22272.8279423564,24052.2532674772,1709.09115540613,1058.329218007,1190.63691692348,1493.74295192239,1019.5896152255,958.020618013952,1029.37828959482,717.070306679708,870.048275215712
"9","South West",5800.6,8294.15168890251,10187.1225063939,11045.7229391411,12682.4197053636,14094.7632492855,16380.1184652278,18126.410670054,20342.8097242932,2210.92137049799,1051.7592682063,866.026440330749,758.687470927379,839.878291290533,1288.05603330072,1147.82929018909,1064.79189571069,1836.86363418246
"10","England",5668,8425.79603478261,10464.8935933134,12746.462336132,14976,16743.8886343529,18424.7758733121,21437.7018893417,24544,NA,NA,NA,NA,NA,NA,NA,NA,NA
