"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",8470.11248797493,12572.814803849,15281.1973483997,15904.0833811368,16397.3122426803,16679.8660945825,19477.4269976726,20228.7992915887,23006.4783843585,3282.19176439778,2555.14948977245,1519.54865114695,906.571627283128,976.272766134123,1079.37251812968,1343.28355441976,2199.87575783468,2070.98800403664
"2","North West",7628.48932746513,10944.7696735939,12790.3707695398,14823.5770667295,15432.3900818854,16849.4237127202,17917.5211700024,19761.7673758842,22898.6435116642,2059.63852244753,1093.48214756035,989.227267058533,712.346484950425,526.259204384269,665.531561887918,725.021902744413,1125.08612824701,1134.4262293926
"3","Yorks & Humber",8754.99052958557,10006.5761591155,11121.3650425881,12916.9135483871,13892.5373134328,15539.6912785611,16631.5993029683,19673.2975034381,22359.6312971957,1329.75660586451,673.846075844856,1026.23542650303,1148.5754118446,1217.98674136542,1030.06888043649,1341.77642447295,1536.64459771698,1091.94805575622
"4","East Midlands",6135.61537766679,10603.0980401824,12522.8310880829,13689.3053718748,14900.4403050671,15571.675340907,17042.1779357744,17891.7662269129,20899.8703614185,2745.55578000101,2094.20933692271,1237.22505502453,894.93338254922,818.496872653329,626.020261247357,686.232196006429,864.126076095332,1943.69294860287
"5","West Midlands",9062.90063257121,12306.3499153976,14269.3878833544,15115.2311901115,16554.0302832718,18642.062385529,19969.5035328281,22098.2060952016,23165.7742352996,2694.22864507374,1480.22121024848,934.722781162281,1085.83860774733,1278.18692674563,1513.95284727249,1594.4491231406,1942.41755730157,2475.03204861663
"6","East",10445.1581693194,12403.4876040703,14974.3115620828,16850.8097389264,19305.1650839893,20425.3953004545,23165.9656738795,25662.6940745284,27625.6260716464,1489.58500223826,1020.49878626325,1132.65164436757,1131.1629087578,1077.07589851948,1051.54778965102,1364.73120921588,1057.61271552784,1035.35883295033
"7","London",9775.6842043598,13264.7719450222,16063.2912311869,18833.3244522349,20434.6514770809,23205.2132256089,26727.8618687699,30279.3084962994,36356.5474777655,898.579409247112,1404.33201057113,1173.54293515492,1115.48895677594,1126.17037139535,1606.8300296319,1802.18349099007,2315.07722791318,3145.6141041056
"8","South East",8516.32548397096,12378.3698553631,14926.2836392853,16692.1266903896,17927.0404120917,19500.2515697375,21451.0003392264,23341.1573613439,26947.344810984,2126.0989735847,1211.1531206361,1014.52200691355,763.453069173391,709.819400004182,850.277983624242,832.874637763509,924.356417418309,1498.07000344592
"9","South West",7628.6399750377,11739.0857797503,14200.2037277029,15133.8853496135,16476.9612146878,18063.2952881254,18823.5289285659,20615.3735006397,22425.5652474843,2758.6463643384,1686.7944288714,888.943756417069,641.877969000206,901.510218567062,695.43019354363,926.9770018536,852.785125363843,1781.81941726637
"10","England",8999.01541699314,11723.4466681969,14300,15719.5402298851,17160,19091.7195360933,20976.3792002019,23359.633891183,27514.4573725407,NA,NA,NA,NA,NA,NA,NA,NA,NA
