"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_nohb",14076.8977927797,1248.13761122318
"2","North West","hh_grossinc_nohb",11984.8070615904,594.016693243633
"3","Yorks & Humber","hh_grossinc_nohb",10828.8423054312,770.864691834973
"4","East Midlands","hh_grossinc_nohb",12259.4208452703,701.909841328084
"5","West Midlands","hh_grossinc_nohb",14085.904785113,769.433452938025
"6","East","hh_grossinc_nohb",15476.8988093137,587.990466899251
"7","London","hh_grossinc_nohb",18842.0452284088,932.954902398537
"8","South East","hh_grossinc_nohb",15516.0420995571,761.784910191731
"9","South West","hh_grossinc_nohb",13108.1844770476,757.793925873934
"10","England","hh_grossinc_nohb",14968.3093512538,339.9632556237
