"","region","category","svy_fun","SE"
"1","North","16 to 24",0.159065540004992,0.0266359645431111
"2","North","25 to 34",0.304736202645516,0.0331466390566069
"3","North","35 to 44",0.220982565267116,0.0290491175904105
"4","North","45 to 54",0.151668737332598,0.024945134652653
"5","North","55 to 64",0.163546954749779,0.0382831281765073
"6","West","16 to 24",0.171431348691598,0.0390001953825604
"7","West","25 to 34",0.294703041150898,0.0432242783356396
"8","West","35 to 44",0.225791962888105,0.0341669875887517
"9","West","45 to 54",0.254346536345993,0.0388990783490922
"10","West","55 to 64",0.0537271109234064,0.0162822043627047
"11","East","16 to 24",0.126041460137026,0.0398992419187213
"12","East","25 to 34",0.302469543762254,0.0434214352925807
"13","East","35 to 44",0.33556715793184,0.0409378596925794
"14","East","45 to 54",0.123644614808451,0.0277839404329795
"15","East","55 to 64",0.11227722336043,0.0245164389578524
"16","London and South East","16 to 24",0.150400610581185,0.0479889809583058
"17","London and South East","25 to 34",0.374050966198066,0.041400040120661
"18","London and South East","35 to 44",0.239536464894915,0.029427497626841
"19","London and South East","45 to 54",0.148134261203432,0.0249111180169193
"20","London and South East","55 to 64",0.0878776971224029,0.0185113971247798
"21","England","16 to 24",0.153021428758388,0.0226307340196755
"22","England","25 to 34",0.330297777124537,0.0215161294094821
"23","England","35 to 44",0.246871994561099,0.0167384152990429
"24","England","45 to 54",0.166535459229386,0.0149147641832701
"25","England","55 to 64",0.103273340326589,0.0134001939037928
