"","region","category","svy_fun","SE"
"1","North","Pen couple",0.00449512776420189,0.00448826616653641
"2","North","Pen single",0,0
"3","North","Couple + kids",0.130465666713291,0.0237905083311825
"4","North","Couple",0.115891469679143,0.0234738636064682
"5","North","Lone parent",0.280944113960677,0.0308219547273154
"6","North","Single",0.468203621882688,0.0388793444643082
"7","West","Pen couple",0,0
"8","West","Pen single",0.00416972524728415,0.00416984324652194
"9","West","Couple + kids",0.152151397226663,0.0277052319972086
"10","West","Couple",0.138204269610949,0.0406306516019117
"11","West","Lone parent",0.255740913920648,0.0340914146424823
"12","West","Single",0.449733693994456,0.0458784685093591
"13","East","Pen couple",0,0
"14","East","Pen single",0.00489943383341044,0.00489629083300639
"15","East","Couple + kids",0.206952613839138,0.0362756149830896
"16","East","Couple",0.0936488004758443,0.0251812009199088
"17","East","Lone parent",0.216112616482718,0.0323097353906895
"18","East","Single",0.478386535368889,0.0463682215553064
"19","London and South East","Pen couple",0,0
"20","London and South East","Pen single",0,0
"21","London and South East","Couple + kids",0.253192886329247,0.0303858742785661
"22","London and South East","Couple",0.106448430553056,0.0211541947075979
"23","London and South East","Lone parent",0.168656388105665,0.022856166418782
"24","London and South East","Single",0.471702295012032,0.0446456584997766
"25","England","Pen couple",0.00109999483223904,0.00109997387221312
"26","England","Pen single",0.00158120062523196,0.00112043959404355
"27","England","Couple + kids",0.195885656913021,0.0153287584869829
"28","England","Couple",0.113167924714448,0.0137642961700155
"29","England","Lone parent",0.220799633827224,0.0149930445828439
"30","England","Single",0.467465589087836,0.0234762000584892
