"","region","category","svy_fun","SE"
"1","North","No disabled",0.600888055137308,0.0361190912196669
"2","North","Has disabled person",0.399111944862692,0.0361190912196669
"3","West","No disabled",0.696119541062073,0.0388230049068715
"4","West","Has disabled person",0.303880458937927,0.0388230049068715
"5","East","No disabled",0.73649241072412,0.0370764250324823
"6","East","Has disabled person",0.26350758927588,0.0370764250324823
"7","London and South East","No disabled",0.765032895394645,0.0316644110470284
"8","London and South East","Has disabled person",0.234967104605355,0.0316644110470284
"9","England","No disabled",0.706719498633228,0.0186380947507229
"10","England","Has disabled person",0.293280501366772,0.0186380947507229
