"","region","category","svy_fun","SE"
"1","North","Heavy burden",0.485747652611255,0.0381808284531252
"2","North","Slight burden",0.346793807135401,0.0347657476172149
"3","North","Not a burden",0.167458540253344,0.0393079944490802
"4","West","Heavy burden",0.59613328372567,0.0452968850668205
"5","West","Slight burden",0.306230119225986,0.0435036332512465
"6","West","Not a burden",0.097636597048344,0.0258861469211768
"7","East","Heavy burden",0.446152490472099,0.0449992688578555
"8","East","Slight burden",0.42247042495539,0.0469282045551293
"9","East","Not a burden",0.131377084572511,0.0272798373434577
"10","London and South East","Heavy burden",0.498453549836356,0.0433621921599638
"11","London and South East","Slight burden",0.344301797748315,0.037294986662357
"12","London and South East","Not a burden",0.157244652415329,0.0332076959495421
"13","England","Heavy burden",0.506957895210665,0.0229107566705075
"14","England","Slight burden",0.349198127183055,0.020750554137488
"15","England","Not a burden",0.14384397760628,0.0179095595250982
