"","region","category","svy_fun","SE"
"1","North","1",0.623418546035977,0.0350617887529173
"2","North","2",0.323097935642057,0.0334083485318417
"3","North","3",0.0477377631871251,0.0127941656889236
"4","North","4",0.00574575513484012,0.0040739440709911
"5","West","1",0.622824217925126,0.0407235194622644
"6","West","2",0.342695103924704,0.039271612191872
"7","West","3",0.0344806781501704,0.0115758625089192
"8","West","4",0,0
"9","East","1",0.621853589760536,0.0427645815011879
"10","East","2",0.333306897539268,0.0413536232098263
"11","East","3",0.0359923336197211,0.0137441119090836
"12","East","4",0.00884717908047496,0.00625620238423544
"13","London and South East","1",0.619953206551083,0.0372320655709932
"14","London and South East","2",0.302982582438459,0.0331613504423176
"15","London and South East","3",0.070323488045007,0.0144356245808685
"16","London and South East","4",0.0067407229654515,0.00401074765062036
"17","England","1",0.621665535799496,0.0201679133919195
"18","England","2",0.320475675617631,0.0187600830603399
"19","England","3",0.0523903578976475,0.00723700030899377
"20","England","4",0.00546843068522497,0.00212248310693549
