"","region","category","svy_fun","SE"
"1","North","Not Single parent head",0.719055886039323,0.0308219547273154
"2","North","Single parent head ",0.280944113960677,0.0308219547273154
"3","West","Not Single parent head",0.739107263165304,0.0344105764926831
"4","West","Single parent head ",0.260892736834696,0.0344105764926832
"5","East","Not Single parent head",0.777256405172604,0.0328290881852575
"6","East","Single parent head ",0.222743594827396,0.0328290881852575
"7","London and South East","Not Single parent head",0.831343611894335,0.022856166418782
"8","London and South East","Single parent head ",0.168656388105665,0.022856166418782
"9","England","Not Single parent head",0.777158765025936,0.0150650130891444
"10","England","Single parent head ",0.222841234974064,0.0150650130891444
