"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,0,0,0,0,5472.35915492957,10327.0790697674,14321.6914285714,17545.2595433153,0,0,0,1277.61291215135,2444.56119206322,3647.69777137157,4478.14380874477,3291.55473067858,2156.12285188376
"2","North West",0,0,0,0,0,0,5347.75454545455,7605.55689881735,11681.7368095449,0,0,0,0,0,1358.65775245476,1926.91926220696,1517.90653338312,1668.41619274367
"3","Yorks & Humber",0,0,0,0,0,0,5359.3805535841,9092.11943661972,13733.7345794393,0,0,0,0,0,1403.83324717015,2805.21823438442,2148.7111321288,1266.90229467435
"4","East Midlands",0,0,0,0,1248,5069.1324570273,6616.77448028674,13156,16505.0891809909,0,0,0,523.240111193423,1349.80563311523,1786.78630043757,2144.00422109834,2408.08095329115,857.665698899437
"5","West Midlands",0,0,0,0,0,0,4739.04881033311,7123.60380952381,15283.727210552,0,0,0,0,0,1389.24758442743,2019.67116365913,2523.34644535649,2520.86100918933
"6","East",0,0,0,802.244949562879,6403.27629233512,9939.98953271028,14777.4188679245,19169.6237288136,22159.1256117455,0,0,361.222455558379,1801.45028603164,2931.5775703526,2941.13885438484,3370.07347909421,2204.78558016572,483.104735533413
"7","London",0,0,0,0,0,8008,13465.3823472357,17628.9406504065,23920,0,0,0,1034.25847829694,2071.89545123602,3542.8241034552,2400.52784643444,2073.92086533444,2059.41781424442
"8","South East",0,0,0,1793.80152671756,8034.68421052632,12584,15890.4980645161,19956.1655172414,23749.0860158311,0,0,727.192208130586,2124.8528406712,3273.58353972107,2226.64198203851,2101.53388611246,2014.46947884834,1180.48193783511
"9","South West",0,0,0,0,5968.72097759674,8215.28564121301,12041.3207722008,15338.722679693,18177.9359296482,0,0,0,1659.48005702129,2486.29619604662,2187.25600628952,2040.42517672683,2129.57188707138,1276.33555809248
"10","England",0,0,0,0,0,6604,11398.3576822917,15433.5015053335,19518.5877966102,NA,NA,NA,NA,NA,NA,NA,NA,NA
