"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,2038.73982737361,4375.25367088608,6832.08476609357,13052,14316.9,15787.3785211268,17684.2464702806,17724.5018302249,548.317400305853,1122.25727789204,2701.59935952048,2550.5544134816,2807.49966191086,2444.15708189059,1192.42263879268,1685.96988018393,1301.6723643542
"2","North West",0,2759.80927152318,4472,6578.46116207951,7733.53271028037,10085.9655083655,12532,14768,16368.6948322756,278.576547480861,1108.43814560332,881.716293636383,830.942123250838,916.459438181559,1222.49932118379,1139.29605776028,729.383536060676,580.352639176357
"3","Yorks & Humber",66.0121771217712,1437.33523234762,3860.18573155985,6758.6244013683,8507.20882852292,12062.9023255814,13505.911627907,14978.5337962963,16142.2360205832,286.906377514715,881.617037994491,1563.14659484702,2014.65596790999,1637.40617971436,1588.45125935192,889.564327740881,654.390797658998,502.720426110072
"4","East Midlands",1885.18872758326,5025.14946325351,6587.41712439418,8693.24279600571,10556,12967.1420289855,15124.3393422655,15646.6690647482,18047.541876892,1114.30618992344,891.149130028519,1077.62051967879,1286.27219621152,1450.37230013891,1335.84826804038,841.956132197592,648.261176883488,823.388801420017
"5","West Midlands",0,411.11760479042,4195.9637415622,8042.45461496451,11768.1027721433,13850.9514246947,15340,16536,18494.79000757,410.544648498326,1173.34471188981,2534.85094636554,2477.21705535714,1929.30219835709,1015.69963992864,769.476485411778,754.59580879728,604.347569722877
"6","East",1201.45219399538,6705.02418879056,12773.2036697248,15578.7777443609,17475.9147727273,20207.7986819099,21980.6585386943,22341.0323001631,24180,1219.31484906526,2262.85840351581,2391.63217149401,1778.57242612941,1434.24138472447,1283.15645502755,736.246692455493,551.400456674763,401.066835006136
"7","London",0,6371.45623921795,11478.0907008086,14323.6090643275,16916.0601286596,19604,23911.2598870056,26958.9147632312,28485.9285252579,2003.83222244184,3011.91566761575,2299.38432261595,1514.17984641361,1764.79511436931,2037.59540158362,2158.61438373415,1386.26103246479,1696.87568245184
"8","South East",1689.01836734694,7101.24922833399,9568,13348.4064918851,15442.3643916914,17734.1218390805,20226.4304147465,22615.9526728439,25192.2934438583,1777.58368392549,1989.83248200615,1602.8888777768,1525.53823620472,1249.66955857845,1408.12023649175,1319.91822287395,1059.2070666578,525.068674869844
"9","South West",190.638862944162,5025.52819714656,7395.74759358289,11675.1142857143,13765.9245742092,15384.9674808095,17612.0837518911,18679.7748400853,20858.368641115,638.297535447685,1727.46443275554,1840.77474112421,1848.02775844366,1138.95800092699,1084.31015514617,880.949996422176,669.245100239988,658.401128054095
"10","England",0,4264,7642.58505419281,11232,13728,15548,17628,20124,24397.996327212,NA,NA,NA,NA,NA,NA,NA,NA,NA
