"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",5823.33118971061,9667.45389221557,12268.4172569221,13623.1837974684,14506.3819402074,17168.8731487444,17699.4082272965,17775.6387096774,20733.7056892779,2449.94029309381,1980.88826008495,1183.09203964394,1552.64109576122,1222.99714759148,1016.40218172147,1564.80729590195,1090.00006961707,2235.05127184253
"2","North West",7419.86228710462,10049.0729689808,12144.8684540787,12835.3385074627,14508.1757605022,15867.8655963303,17732,18772.1301808067,21808.0233318604,1512.61857109163,974.836608332923,674.788848428736,600.906559460039,777.057325994347,820.209503634136,681.199437173772,852.282335350797,944.212665800675
"3","Yorks & Humber",6784.97509068924,10161.3134256472,12067.1281593241,12645.6848637317,13380.1609329446,14859.8325842697,15548,16558.128057554,17952.1654116146,2367.28094765157,1330.14777675642,792.821809146298,682.252871267465,731.149672905267,663.748636850044,462.561470621044,572.305859421876,1647.35936496732
"4","East Midlands",5269.74568421053,8543.23525179856,10179.9440776699,12012,14096.8628912072,15236.3612631579,16174.8175510204,18250.2351515152,20091.8328705199,2156.98515519725,1274.43028422853,928.505064785089,1189.43992757697,904.507896603796,758.430905268119,838.451612114274,1011.25713581801,2617.06016679987
"5","West Midlands",2965.57048616539,8074.57283950617,11256.1310782241,13891.7255115962,15482.4513224536,16553.4428070175,18213.9401324503,18947.5303155007,21391.2606845513,2127.02806278345,3094.07337876519,2048.55570886828,1471.09855601231,871.983279413925,798.328329416837,626.290648242516,782.889892609936,1218.58455003563
"6","East",9936.10802764487,14153.6369443246,16812.209495549,17212,20098,20971.5855955679,22152,23591.04,26175.9347753744,3043.28586617934,1439.80393800423,855.625032064453,1071.24051254064,1214.60309421174,779.128199982373,707.931057906904,790.649481295103,1585.5479587544
"7","London",8798.50765205417,12056.3518324607,15229.6145985401,17770.1274873524,21684.5875210793,23912.5574387947,28017.37002457,29874.6973045822,31574.7720613288,679.046982500919,1885.17411791331,1573.11139308689,1805.76518322837,1953.46881025264,1798.88042215304,1691.22863505818,631.169016475945,1317.17296566038
"8","South East",11720.0733529165,13047.0663299323,14604.8972067039,16167.870701107,18714.1587837838,20608.652909232,22252.8432041859,25012,25896,1167.99818492384,354.32409842854,829.180840699853,1180.63616940145,1214.85828855043,952.576732397685,1171.04414084885,869.088049795688,439.966756237968
"9","South West",6782.68255837563,9331.00110149489,12962.5268379097,15062.5021632938,16640,18382.1671742809,19580.596836983,21119.6054169636,23708.5699708455,1662.08021229955,1574.98730092624,1572.80248414043,1302.43580005968,1005.79010837616,816.703070427138,750.683683909785,701.834858467069,1077.62895553937
"10","England",8112,11371.1288888889,13156,15080,16640,18252,20748,23224.0728837877,27870.1255177255,NA,NA,NA,NA,NA,NA,NA,NA,NA
