"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_noincben",10418.7568815086,1278.73812395024
"2","North West","hh_grossinc_noincben",8426.30934249166,594.8557917917
"3","Yorks & Humber","hh_grossinc_noincben",8713.66689842175,840.896558255608
"4","East Midlands","hh_grossinc_noincben",10419.5541945024,754.131051710113
"5","West Midlands","hh_grossinc_noincben",9952.27641527416,1017.48996408028
"6","East","hh_grossinc_noincben",15453.994316714,1003.33935155732
"7","London","hh_grossinc_noincben",16623.5042267804,1384.14289330361
"8","South East","hh_grossinc_noincben",14667.408238381,1011.31169481628
"9","South West","hh_grossinc_noincben",12164.2333482187,835.303298964716
"10","England","hh_grossinc_noincben",12887.7517219718,449.544632176094
