"","region","category","svy_fun","SE"
"1","North","Do this",0.281914321859419,0.0534551639226615
"2","North","Like to but can't afford",0.605286875418592,0.0579476028504353
"3","North","Don't want to",0.0952282517921962,0.0352824539445534
"4","North","Does not apply",0.0175705509297922,0.0173827028623968
"5","West","Do this",0.348224662003652,0.0641706071465082
"6","West","Like to but can't afford",0.546366674606784,0.0697966764166004
"7","West","Don't want to",0.0953247146971567,0.0346485312179879
"8","West","Does not apply",0.0100839486924071,0.0100867917690563
"9","East","Do this",0.391031525298333,0.0573959673674164
"10","East","Like to but can't afford",0.528442642041952,0.0589474263049877
"11","East","Don't want to",0.0805258326597158,0.0281855703997487
"12","East","Does not apply",0,0
"13","London and South East","Do this",0.440096148809489,0.048370699171329
"14","London and South East","Like to but can't afford",0.487515787145626,0.0477077483303466
"15","London and South East","Don't want to",0.0657356373350716,0.0212076398175704
"16","London and South East","Does not apply",0.00665242670981335,0.00663883855715972
"17","England","Do this",0.388005446608552,0.0293680469153492
"18","England","Like to but can't afford",0.52538947256004,0.0296964813707404
"19","England","Don't want to",0.0788516733636813,0.0141023349449018
"20","England","Does not apply",0.00775340746772751,0.00455285227855878
