"","region","category","svy_fun","SE"
"1","North","Pen couple",0,0
"2","North","Pen single",0,0
"3","North","Couple + kids",0.0908707551616077,0.0361640036000428
"4","North","Couple",0.132047858046485,0.0413538642967627
"5","North","Lone parent",0.37272719755914,0.0541124664926799
"6","North","Single",0.404354189232766,0.0590072791289174
"7","West","Pen couple",0,0
"8","West","Pen single",0,0
"9","West","Couple + kids",0.138042544590976,0.0450004038922951
"10","West","Couple",0.162476450334568,0.048499623436936
"11","West","Lone parent",0.203779495730383,0.0441263882219725
"12","West","Single",0.495701509344074,0.0721041174021823
"13","East","Pen couple",0,0
"14","East","Pen single",0.00816987970440501,0.00815945400265499
"15","East","Couple + kids",0.222745214064297,0.0558171795298281
"16","East","Couple",0.175191807258081,0.0471007610198149
"17","East","Lone parent",0.194059858657719,0.0382200508051155
"18","East","Single",0.399833240315499,0.0564717092485066
"19","London and South East","Pen couple",0.00342502501341299,0.00342900133324453
"20","London and South East","Pen single",0,0
"21","London and South East","Couple + kids",0.25862273973,0.0355207610045681
"22","London and South East","Couple",0.14967156301205,0.0423474968440279
"23","London and South East","Lone parent",0.165030523614112,0.0269774200103086
"24","London and South East","Single",0.423250148630425,0.0486201451440613
"25","England","Pen couple",0.00156837226597256,0.00156870682295198
"26","England","Pen single",0.00161352438878634,0.0016137957327554
"27","England","Couple + kids",0.202410326556088,0.0219501978272005
"28","England","Couple",0.154236995524628,0.0241883320344455
"29","England","Lone parent",0.211250846602303,0.0193054913707614
"30","England","Single",0.428919934662222,0.0300708559005763
