"","region","category","svy_fun","SE"
"1","North","No carer",0.958177954539817,0.0211841665017815
"2","North","Has carer",0.0418220454601831,0.0211841665017815
"3","West","No carer",0.940326410994897,0.0280468469375088
"4","West","Has carer",0.0596735890051033,0.0280468469375088
"5","East","No carer",0.948311221985382,0.0257618924055491
"6","East","Has carer",0.0516887780146184,0.0257618924055491
"7","London and South East","No carer",0.956167800124705,0.0154442058168914
"8","London and South East","Has carer",0.0438321998752954,0.0154442058168915
"9","England","No carer",0.952024541506753,0.010687549681119
"10","England","Has carer",0.0479754584932471,0.010687549681119
