"","region","category","svy_fun","SE"
"1","North","No disabled",0.771227292646828,0.0501546204435941
"2","North","Has disabled person",0.228772707353172,0.0501546204435941
"3","West","No disabled",0.837696788583555,0.0426444203646686
"4","West","Has disabled person",0.162303211416445,0.0426444203646686
"5","East","No disabled",0.784422762696934,0.0443556677349502
"6","East","Has disabled person",0.215577237303066,0.0443556677349502
"7","London and South East","No disabled",0.760320751707437,0.0466833836538633
"8","London and South East","Has disabled person",0.239679248292563,0.0466833836538633
"9","England","No disabled",0.781067980504907,0.0260346417802133
"10","England","Has disabled person",0.218932019495093,0.0260346417802133
