"","region","category","svy_fun","SE"
"1","North","No school age kids",0.556568905499376,0.0575041060617103
"2","North","Has school age kids",0.443431094500624,0.0575041060617103
"3","West","No school age kids",0.667525642969026,0.0602197333118265
"4","West","Has school age kids",0.332474357030974,0.0602197333118265
"5","East","No school age kids",0.590389800762522,0.058022041094656
"6","East","Has school age kids",0.409610199237478,0.058022041094656
"7","London and South East","No school age kids",0.593579165639546,0.0433345570244755
"8","London and South East","Has school age kids",0.406420834360454,0.0433345570244755
"9","England","No school age kids",0.600609553657986,0.0272615890257877
"10","England","Has school age kids",0.399390446342014,0.0272615890257877
