"","region","category","svy_fun","SE"
"1","North","Helps outside",0.0467087257423041,0.0233103982753574
"2","North","Doesn't",0.953291274257696,0.0233103982753574
"3","West","Helps outside",0.0592549282863062,0.0279149880778507
"4","West","Doesn't",0.940745071713694,0.0279149880778507
"5","East","Helps outside",0.0520653321409119,0.0258663921910301
"6","East","Doesn't",0.947934667859088,0.0258663921910301
"7","London and South East","Helps outside",0.0862549483056132,0.0348772884564362
"8","London and South East","Doesn't",0.913745051694387,0.0348772884564362
"9","England","Helps outside",0.0681836894596353,0.0180958381140688
"10","England","Doesn't",0.931816310540365,0.0180958381140688
