"","region","category","svy_fun","SE"
"1","North","1",0.562398194160789,0.0573928858754288
"2","North","2",0.302817076094955,0.0521743040987164
"3","North","3",0.106638774278367,0.033598440915552
"4","North","4",0.0281459554658883,0.016347860832251
"5","West","1",0.69732995517443,0.0578615723637235
"6","West","2",0.27336379450977,0.0554800928337569
"7","West","3",0.0293062503158001,0.017382020621181
"8","West","4",0,0
"9","East","1",0.60855181317536,0.0578249000232802
"10","East","2",0.347969633599387,0.0574690042615243
"11","East","3",0.0434785532252533,0.0177550536649553
"12","East","4",0,0
"13","London and South East","1",0.598448443368183,0.0430745985678977
"14","London and South East","2",0.310169221176573,0.0386338621944004
"15","London and South East","3",0.0790307846236388,0.0175969400513059
"16","London and South East","4",0.0123515508316054,0.00623848701477483
"17","England","1",0.612845778940519,0.0269525294652827
"18","England","2",0.30968247433633,0.0250054789749088
"19","England","3",0.0672952550430937,0.0108375224153688
"20","England","4",0.0101764916800574,0.00388978997542615
