"","region","category","svy_fun","SE"
"1","North","Not Single parent head",0.62727280244086,0.0541124664926799
"2","North","Single parent head ",0.37272719755914,0.0541124664926799
"3","West","Not Single parent head",0.796220504269618,0.0441263882219725
"4","West","Single parent head ",0.203779495730383,0.0441263882219725
"5","East","Not Single parent head",0.796620426716515,0.0391714858538331
"6","East","Single parent head ",0.203379573283485,0.0391714858538331
"7","London and South East","Not Single parent head",0.831019532212926,0.0272851195430915
"8","London and South East","Single parent head ",0.168980467787074,0.0272851195430915
"9","England","Not Single parent head",0.785099799471455,0.0194733414546738
"10","England","Single parent head ",0.214900200528545,0.0194733414546738
