"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,0,0,0,1826.05400619743,4779.25123966942,5648.66509368494,9062.13436293437,15251.2703170029,0,0,1012.97086430955,1396.74701425348,1812.48781707145,3087.92819047166,4623.21449003279,3765.3750353394,3404.93262959298
"2","North West",0,0,0,0,5347.11328125,6426.3955801105,8250.0719858156,13088.5116631579,15600,0,0,1326.5549880041,1499.00713644463,1972.44414626161,1832.90756569634,2054.74775199719,2286.99179431037,1241.81192779332
"3","Yorks & Humber",0,0,3145.67827338129,6758.61789473684,7472.03797468354,11133.4909747292,13172.3464926591,15173.6741092637,15600.9797509475,691.848201610556,1717.95650778432,1901.8982493546,2983.55458740008,3537.82568535246,2218.21051951125,2092.28778524036,1172.18096470599,387.377463885095
"4","East Midlands",0,0,0,0,309.394990366089,5200,9278.86647398843,12109.0487046632,14297.6575366064,0,0,103.712677858262,1326.5549880041,2476.30547948453,3051.02714471497,3312.93903878945,2330.19569677015,1641.28078493274
"5","West Midlands",0,0,0,0,4697.44200626959,6582.38961038961,12508.2436548223,14940.7837956847,17670.9555459646,0,0,1355.53084052885,1804.39085832421,3440.36313697339,3865.72274453302,3095.13356719808,2806.74994248242,1050.7717353695
"6","East",0,0,0,5426.41894736842,7800,11672.9286846276,14352,17362.8808654496,19186.391160221,0,0,1553.18195551156,2343.18818569875,2754.40193235364,2200.14033522799,1908.53563940117,1627.86416540287,1521.1471532697
"7","London",0,0,0,5577.50535211268,9096.3211143695,16980.8009815951,19589.0392944427,24166.1463049579,27382.0749787475,0,0,1575.96076415885,2597.91365534614,3316.27808898799,3274.09783821545,2353.41962975001,2048.73842278178,1079.97743077975
"8","South East",0,0,0,5664.25277161863,8002.76444996892,12609.064,14971.2298020955,19156.4487111111,21920.6490566038,0,0,1536.52011532117,2331.07276891486,1921.47946468242,2095.33259971732,2243.00623450765,1774.45551674999,872.312295168847
"9","South West",0,0,0,4088.42892416226,5768.93579595427,9592.1180102916,11072.9083655608,14024.6460463639,16930.2413305025,0,887.17113978873,1336.67696932455,2250.61251334473,2381.68332357289,2329.75727605967,2696.59110014395,1825.52313688663,1456.83870240344
"10","England",0,0,0,4604.66459627329,6604,10665.6479400749,14352,17763.9689639434,21944,NA,NA,NA,NA,NA,NA,NA,NA,NA
