"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,0,0,0,2811.32296479469,5366.99100648102,7828.39497471163,10166.2028560433,21505.0176722469,0,0,1234.77983694741,1486.64354509635,2152.59822909214,4007.28794261455,6919.0853829935,5917.48807871962,5417.24703135019
"2","North West",0,0,0,0,5416.67775511972,7345.36879432624,8989.43373874728,15353.0436815194,17881.3964776453,0,0,1250.54128411213,1570.28966474679,2225.09792201005,1488.60954850857,2506.28088544536,2796.10379304138,2764.68994388333
"3","Yorks & Humber",0,0,3145.67827338129,9115.49492103909,11152.2954846023,11583.0221348133,16990.5833319633,22069.3667064352,22861.5725572262,691.848201610556,2277.78402338701,2838.65410351433,2983.55458740008,4731.17420671825,3792.89132748884,3029.60233438159,3006.39889128211,752.805514148559
"4","East Midlands",0,0,0,0,309.394990366089,5579.57756686799,10459.8512267525,12142.8255613126,14967.579824276,0,0,103.712677858262,1556.56667604688,2695.70290644132,3064.71516833098,3660.87548082661,2757.43635782755,3749.26849940202
"5","West Midlands",0,0,0,0,4469.26439553814,7748.89561814025,13163.1081697855,15774.8623477348,21020.8403162523,0,0,1522.06644649855,2480.76964440883,3807.83203635737,4052.63968028117,3781.18357914078,3640.08506927093,2765.5591551101
"6","East",0,0,0,5662.9831473573,7916.88082101997,10533.6939754811,17964.5740720235,21781.0477647519,26700.8367582378,0,0,1489.04742833441,2104.32046329431,2220.56542779127,3542.39889950488,3939.83583386548,2936.66110075974,2405.75554611178
"7","London",0,0,0,4810,8990.28303113186,15906.5758190069,24976.3215622419,27891.3477410307,35722.6339352432,0,0,1403.54103058053,2447.39157407296,3355.58220563894,4916.21528915218,3882.58570140499,4337.62992994619,3244.57034824964
"8","South East",0,0,0,6203.6070592245,8351.04438051352,12432.7649217002,15214.5377208094,19402.9850746269,23987.1420723434,0,0,1631.07044097065,2371.59475121066,1875.25151922834,2709.44227349008,2276.28529062805,2517.91735251009,3970.97782831953
"9","South West",0,0,0,5212.32766820767,6074.2265304869,11345.3959987298,16476.9833308524,16975.7183297948,19302.7654181921,0,827.769356447342,1411.26850897102,2313.40224745645,3386.56228002107,2919.79217913654,3136.21420427726,1767.36311061722,2958.67234915163
"10","England",0,0,0,4224.52269237086,6964.68694698014,11208.7292675694,15864.768992091,20970.6383076888,27269.0710625975,NA,NA,NA,NA,NA,NA,NA,NA,NA
