"","region","category","svy_fun","SE"
"1","North East","hh_grossinc",16826.1427453436,2198.6590673447
"2","North West","hh_grossinc",15717.2867631702,766.680470625941
"3","Yorks & Humber","hh_grossinc",13993.7096131797,895.754669798221
"4","East Midlands","hh_grossinc",13161.5489100239,1233.12392509228
"5","West Midlands","hh_grossinc",15037.0285210232,703.464725677626
"6","East","hh_grossinc",17513.0721753139,751.630093831308
"7","London","hh_grossinc",22264.7409064978,1054.97549340902
"8","South East","hh_grossinc",18216.5254608567,871.437963018233
"9","South West","hh_grossinc",13629.8211211481,953.46980614392
"10","England","hh_grossinc",17783.2466660469,459.173947516394
