"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",2671.09741935484,5551.25054243778,5771.33244798583,11610.3790147153,16865.2664092664,17927.269740634,19048.5258292011,20372.8142714414,24271.0279569892,1396.60484725641,2799.36177543087,4206.57078067832,3378.10279178425,3517.82141945182,4363.4311276885,2283.66586891759,2239.41957395118,1965.52978058348
"2","North West",6635.52692307692,9999.8429644468,12464.3136341287,14934.8356650726,15558.3860589812,16551.5599274705,16938.6736038186,17453.0041263158,18167.6016948358,2090.24091404273,2167.04498373659,1584.61040231113,1229.29712578431,590.28603555083,447.653262527666,512.068406926843,739.830070393882,1546.94674731214
"3","Yorks & Humber",7459.21148036254,9558.0993736952,11691.1081967213,12527.1141894529,14213.3467181467,14868.827406199,15305.618624797,15701.9957998765,18055.0752918288,777.507111417297,1339.28648687274,1728.02812026321,1457.91458497509,1077.69648997436,987.473506205607,1017.34810126979,1415.32504417869,1314.6412139851
"4","East Midlands",5262.38624884305,6184.36803532009,10584.9387402934,12737.8208092486,13780,14789.9574357306,15141.1242132306,17150.2303030303,17397.3318364074,1365.94073819358,3274.65248079994,2216.37798384031,2394.02150266644,1173.23013736444,1095.69279520997,831.255390189071,811.15363883675,2238.64890757503
"5","West Midlands",7238.7038961039,9842.00846262341,12528.7953044754,15246.9525067795,15508.1050764423,15537.9812484163,16917.5027268435,17777.3546325879,19040.7016129032,1353.12132763229,1980.85128262038,2040.2732785416,1447.74426326638,1291.38002255273,707.770283388704,749.141773378832,1426.65051229634,1297.70441862933
"6","East",9182.37934982623,11844.4747350809,13769.5699246032,15678.8346988422,16653.2843547227,17940,19702.0404105409,20492.8229007634,22370.7201492537,2104.12906607646,1189.78336154818,1096.05813737977,867.46003417545,645.220343835757,908.590759026097,836.194192358103,716.603962731159,1469.40466061739
"7","London",9598.17950283472,12599.7241267701,18035.7814214876,21098.7030316641,23299.9223076923,24508.3209815951,26655.9052355255,27617.3826478535,28273.4260758687,1372.85842603569,2334.29727882942,2715.72620179008,1616.98650759768,1190.34304749367,1142.22373445281,945.195028429214,730.445912448311,1508.98448808369
"8","South East",6163.29054163298,11908.0558785215,14982.8626365623,16473.6448275862,18397.7994100295,20283.2203045685,22041.9132631579,23060.0985074627,24250.7590047428,1886.10154605832,2245.40578580857,1595.98556842605,1146.01715059657,1092.90640390802,1054.44419550398,802.677410116562,551.492411407072,838.917268199616
"9","South West",5394.20111731844,9762.37837002704,10936.5781139687,11146.8244803695,12937.7169811321,14399.8925081433,16978.4894550602,18001.7295649413,19336.3730711044,3873.15330900739,1636.78543394899,1192.27180515191,944.951704120351,1430.72454327342,1528.67277843761,1107.24915400639,978.373741328826,1118.89687283267
"10","England",7365.76623376623,10729.448354143,13717.9157142857,15331.324534687,16916.1410228884,18155.0574343604,20474.2101265823,23192,26627.5695068207,NA,NA,NA,NA,NA,NA,NA,NA,NA
