"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",2671.09741935484,5210.1606020363,5618.87966689799,7694.58272552783,11460.4027777778,16649.1686162625,17871.3639656816,18028.3325648415,18826.4540023895,1314.91173072815,1896.44223031924,3818.12110065656,3114.30872459867,3235.59535648047,3277.83758409404,2113.4241182473,773.739496260724,258.749693344599
"2","North West",5479.14131196795,8286.13085106383,10712,12106.398340249,14482.656207367,15353.2072180451,16035.4543990799,16930.7135083532,17367.7283909014,1672.45771277831,1572.49655598059,1771.97499321623,1223.52839286079,1159.47508759247,938.991752260349,578.332315028223,465.866716542849,326.715258591616
"3","Yorks & Humber",7030.86765100671,9558.0993736952,11065.6475102787,11621.6524590164,13059.6518987342,14301.3354085603,14465.2336052202,15173.6741092637,15613.9248511099,1412.27019381442,1809.02995000836,1455.52666813113,1311.81066559807,951.656732098087,957.333380422947,718.242574727008,499.331438660004,431.860852843774
"4","East Midlands",2499.88195160651,6052.11125827815,10308.661849711,12551.274566474,13188.2371967655,13991.4250999201,14872.2233647901,16589.4597553873,17224.5325932778,1062.08628250561,3240.54131999765,2935.12427202758,2284.85818175293,1195.78902701627,964.673851560077,979.281658047545,675.080512479961,764.155150896133
"5","West Midlands",6867.71428571429,9842.00846262341,11965.1691394659,12901.9717314488,14569.845882871,15481.3037912358,15523.3550130923,16085.9064516129,17758.249201278,1374.78396252493,1542.79702188752,1764.83794325502,1422.92607410319,1051.21391929809,1150.42118228078,1049.47707923588,675.872108454884,790.374738126448
"6","East",8410.57968051118,10732.3015434606,13083.6270531401,14876.2960747664,15814.1796083727,17368,18345.0295522388,19793.0427782163,20820.5236492471,1697.44743420628,1217.26663532528,1142.80638867469,1079.41292270017,1006.41234553022,779.461849730899,646.594023554413,723.017359130632,679.957610803203
"7","London",9598.17950283472,11645.8314339386,15972.3959817352,18496.0923076923,20578.1165048544,23370.8088888889,24517.2088343558,27368.6822335025,27924,1367.1875858879,1831.97954669212,2062.26323278094,1566.33293551555,1488.34964822557,1289.72585577161,1275.11076569688,968.690548022375,196.364877204237
"8","South East",6163.29054163298,10519.114893617,13935.0624133148,16160.8367184035,17833.7309090909,18738.1663878327,20513.0304106548,22106.4183449651,23075.577238806,2222.95763338558,1960.05005744084,1659.30299211886,1101.38883912407,932.269182722073,946.702859994812,897.821405574616,653.155591338064,538.635626393085
"9","South West",5394.20111731844,10063.3316338355,10854.1838765009,11069.8378994504,12621.7504409171,14058.9505239759,15237.2211081794,17108.0073602265,18332.0181533646,3983.30027169032,1677.61534715556,1081.01178087024,761.417563597767,870.77866955804,1420.61405690079,1196.67228506277,1194.3027196801,648.910226517984
"10","England",6937.79047619048,10556,12260.7019498607,14336.3624235686,15600,17212,18449.0476190476,20991.8686131387,24204.3177723178,NA,NA,NA,NA,NA,NA,NA,NA,NA
