"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_noincben",12051.8484895915,1654.45860256923
"2","North West","hh_grossinc_noincben",12780.9580515078,750.874942630216
"3","Yorks & Humber","hh_grossinc_noincben",12488.2953352242,684.722583263549
"4","East Midlands","hh_grossinc_noincben",12091.9399941171,1189.27116839831
"5","West Midlands","hh_grossinc_noincben",13409.2366362834,706.808557270253
"6","East","hh_grossinc_noincben",15449.2942883585,629.677778443959
"7","London","hh_grossinc_noincben",19676.373831941,980.176260470903
"8","South East","hh_grossinc_noincben",16344.7576584774,781.134110519326
"9","South West","hh_grossinc_noincben",12589.3926854517,821.811882088665
"10","England","hh_grossinc_noincben",15668.6726497656,431.572805890535
