"","region","category","svy_fun","SE"
"1","North","16 to 24",0.205811836196355,0.041687287594706
"2","North","25 to 34",0.322166035680531,0.0474483637197263
"3","North","35 to 44",0.185040021786376,0.0379410895810535
"4","North","45 to 54",0.158629380636824,0.0360383791160397
"5","North","55 to 64",0.128352725699914,0.0580796474857047
"6","West","16 to 24",0.180943543139953,0.0497532709577448
"7","West","25 to 34",0.352394056723518,0.0588358969045844
"8","West","35 to 44",0.232355231299265,0.0418059001994798
"9","West","45 to 54",0.19434578093501,0.0418578886114981
"10","West","55 to 64",0.0399613879022538,0.0179675307029578
"11","East","16 to 24",0.15992329363858,0.0514634038041951
"12","East","25 to 34",0.340952674068988,0.054001974931224
"13","East","35 to 44",0.340135893368688,0.0487854749781202
"14","East","45 to 54",0.0769727029522479,0.0260559282115261
"15","East","55 to 64",0.0820154359714955,0.0244631329158802
"16","London and South East","16 to 24",0.140713946468646,0.0491397263140119
"17","London and South East","25 to 34",0.408913188809331,0.0484935489916098
"18","London and South East","35 to 44",0.251832810744987,0.0348352547968633
"19","London and South East","45 to 54",0.124916997364174,0.0224923242686354
"20","London and South East","55 to 64",0.0736230566128622,0.0201169211493829
"21","England","16 to 24",0.163973003993935,0.0264926271045391
"22","England","25 to 34",0.370122206725115,0.0278918118271639
"23","England","35 to 44",0.250576418170887,0.0207868581582247
"24","England","45 to 54",0.136284688835403,0.0153656181127375
"25","England","55 to 64",0.0790436822746605,0.0156441691183954
