"","region","category","svy_fun","SE"
"1","North","1+ self employed",0.0581504007518436,0.021817031728237
"2","North","Sing/couple all FT",0.318460215834637,0.05882231709133
"3","North","Couple, 1 FT, 1 PT",0,0
"4","North","Couple, 1 FT, 1 not working",0.0804120188174483,0.0280950217828829
"5","North","No FT, 1+ PT",0.320756328995637,0.0479709537101767
"6","North","Workless, head/spouse aged 60+",0.0062315443229937,0.00623088710754004
"7","North","Workless, head/spouse unemployed",0.0422484821624046,0.0189936381580969
"8","North","Workless, inactive",0.173741009115035,0.0357912814207125
"9","West","1+ self employed",0.134904204464185,0.0320222640687882
"10","West","Sing/couple all FT",0.312971516758169,0.0587570706781112
"11","West","Couple, 1 FT, 1 PT",0.00708182546553458,0.00708023366031782
"12","West","Couple, 1 FT, 1 not working",0.107991116799036,0.0370018222474274
"13","West","No FT, 1+ PT",0.293414493813485,0.0517817035041866
"14","West","Workless, head/spouse aged 60+",0,0
"15","West","Workless, head/spouse unemployed",0.03534460044416,0.0162370589395491
"16","West","Workless, inactive",0.10829224225543,0.0358054651229388
"17","East","1+ self employed",0.111543078273644,0.0307576307873601
"18","East","Sing/couple all FT",0.384219861332569,0.0552747579311742
"19","East","Couple, 1 FT, 1 PT",0.026461472311303,0.0153647480093825
"20","East","Couple, 1 FT, 1 not working",0.120381484732847,0.0348078279108483
"21","East","No FT, 1+ PT",0.240631587748058,0.0507651692468992
"22","East","Workless, head/spouse aged 60+",0.00664074863691468,0.00663840727854201
"23","East","Workless, head/spouse unemployed",0.0357119396121851,0.018580593324788
"24","East","Workless, inactive",0.0744098273524792,0.0260681012941358
"25","London and South East","1+ self employed",0.148223012044667,0.027737801762544
"26","London and South East","Sing/couple all FT",0.326603836016054,0.0445763239796912
"27","London and South East","Couple, 1 FT, 1 PT",0.0433301895498837,0.0142265414363764
"28","London and South East","Couple, 1 FT, 1 not working",0.129990568649651,0.0260654369165868
"29","London and South East","No FT, 1+ PT",0.234176602598011,0.0399906913195629
"30","London and South East","Workless, head/spouse aged 60+",0.00410567614228509,0.0041083572543988
"31","London and South East","Workless, head/spouse unemployed",0.0186601179931707,0.00991452226251305
"32","London and South East","Workless, inactive",0.0949099970062778,0.0483922903663449
"33","England","1+ self employed",0.122346581979297,0.0153313337856717
"34","England","Sing/couple all FT",0.332276771754271,0.0271978175616256
"35","England","Couple, 1 FT, 1 PT",0.0253798139206218,0.00702796567298353
"36","England","Couple, 1 FT, 1 not working",0.114776700685107,0.0157661005476463
"37","England","No FT, 1+ PT",0.262920374108082,0.0240582787968523
"38","England","Workless, head/spouse aged 60+",0.00416566831411759,0.00247245656708161
"39","England","Workless, head/spouse unemployed",0.0291941975072998,0.00726676395689741
"40","England","Workless, inactive",0.108939891731204,0.0240214345164835
