"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_earn",9273.80121575192,1994.51649460747
"2","North West","hh_grossinc_earn",6801.94178473492,903.867335356744
"3","Yorks & Humber","hh_grossinc_earn",7009.65792866352,1053.48351717739
"4","East Midlands","hh_grossinc_earn",7108.2405054224,993.176439355482
"5","West Midlands","hh_grossinc_earn",6889.67527519052,1137.50536074147
"6","East","hh_grossinc_earn",11405.3307111232,1464.73849138136
"7","London","hh_grossinc_earn",10524.4444011142,1370.42858496965
"8","South East","hh_grossinc_earn",13103.8285019387,1120.96146136983
"9","South West","hh_grossinc_earn",9858.46907802587,1079.72502849419
"10","England","hh_grossinc_earn",9905.53820959152,519.057457610765
