"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",8067.23550579768,13045.2877752468,14188.1257142857,15749.7283691662,17474.0914351852,17699.5192609378,17725.2405438382,17833.6426056338,21054.1258205689,2384.75359074571,2700.29211828319,1922.55375644297,1194.99754456825,1113.15783844611,1189.44818794442,1816.52787400098,1503.5825256381,2857.4282274972
"2","North West",7407.53736791547,11068.3793928243,12811.3275906183,13987.9296957991,15171.3648186174,16682.2206579954,18179.2752631579,18754.1073713491,21176.5698296837,2758.75643581624,1963.64068355356,1122.60988795613,924.949582914229,1144.9228176426,955.497570691395,1019.30937623844,853.109318001135,1400.33613720867
"3","Yorks & Humber",10140.7889223359,11274.9568687644,13052.7505154639,14065.3244712991,14813.2078651685,15414.5711057304,15957.0334561533,17067.8909734513,18449.7136612022,2750.10063264905,1141.41178370851,1011.53689262057,716.527649079487,578.536111647029,738.353651093949,655.675793122874,1120.63746153148,1759.23870654809
"4","East Midlands",5291.00547368421,8736.74820143885,10694.1956146179,13710.5148182665,15155.5773447016,15600,17368,18494.4995983936,19923.4314497901,6029.30401162478,1715.41427673353,1571.37387140773,1414.95892356982,1002.56442657942,808.908470924152,941.677699719159,845.561299316705,2553.33953068727
"5","West Midlands",10136.1400739827,13857.6197074673,15258.2286868687,16339.5787005374,17109.7675889328,18409.6380549683,18663.6220858896,19230.3018404908,21830.04784689,1823.73600411949,1525.57897065916,1020.03663550119,856.03649074839,754.09503773306,582.079601348891,673.213644944721,1060.19558612556,1496.85080532584
"6","East",10400,15644.9008352316,17212,20174.7517045455,20938.8227146814,22152,22664.4384862091,24533.9860517435,28611.6501521607,5546.05290554506,1737.78703428537,1258.18120849169,1234.74917622462,834.81829069794,758.525201184403,675.723543361742,1590.86003536116,2002.17900688029
"7","London",11960,14507.0512597741,17009.8594890511,21403.4188376754,23844.9378531073,26923.2218430034,28477.6559968123,30444.2564480472,32881.5116931712,3810.5827303048,1494.93441143207,1911.81625067074,2034.46975606821,2050.0268637391,1499.15604106465,1262.7137833158,894.751000836769,1728.43922683131
"8","South East",12584,14432.7867816092,15548,17783.432183908,19531.5507531107,21169.4147217235,23288.7281074058,25333.9509677419,25896,1178.55420380453,725.625094219842,896.988402094483,1176.86651093296,1183.1429469146,1211.23324554284,1154.10283956357,665.805126827407,455.659458635709
"9","South West",6456.86225680934,11597.005242464,14778.2071578108,15808.3229813665,17211.4493192133,18919.5112414467,19947.9749019608,21415.9725557461,23271.3862368258,3333.02209550479,2154.42674059921,1810.43985346946,1498.89293684909,1089.83113987205,1003.0905165017,737.991152587549,983.738117154176,1147.34152489672
"10","England",10379.6173354735,13468,15167.253593179,16744,18052.4620293555,20176,22256.8330883269,25116,28489.7660778324,NA,NA,NA,NA,NA,NA,NA,NA,NA
