"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",11736.4035634485,14522.9524253731,15533.0278016568,17544.5545021069,18411.2994751752,20493.0126437874,22102.5386324193,26004.9919480513,26235.3317949212,2318.76308413505,2813.4265206933,1473.68898026043,1754.10203578908,2149.20244753307,2558.95484327519,2264.77392728987,2144.67280949052,1805.49455367283
"2","North West",9863.59573324279,12066.6908591957,14540.4798234117,15845.2854162179,17205.91747771,19180.6368889006,20652.9825885993,21316.9052741338,23233.7768487976,2995.19026153616,1620.86203823173,1274.5256952063,1367.86848069638,1024.38007022713,1151.03701629056,859.113814665222,1041.59487457362,2471.79042592964
"3","Yorks & Humber",9085.78548224766,10975.8604640781,12546.2332894226,15444.1988782926,18955.9434965929,20150.8968664279,21244.6165732555,22869.4818445088,25232.4279592138,2713.45620956324,1263.09362150303,1671.77814296282,1985.89543775718,1936.11296530644,1494.41512622168,1009.16286686434,1154.20040904384,1046.25914179667
"4","East Midlands",6685.5375126456,9049.06339468303,13132.3569302084,14259.5323782235,16185.1643058139,18293.2681464683,20289.682374247,22860.752238806,24167.4714395666,2355.36070930557,1889.03280650572,1681.1656920443,1611.45695049918,1556.12234154908,1962.68666611821,1489.32255437331,1368.90274467678,1268.29675876432
"5","West Midlands",9850.06344843599,12909.5843004853,15247.2066754642,16045.7279873232,18863.1766088232,21965.4794809024,24928.9552238806,26583.9244415076,27667.4743038486,1257.39261530206,1474.69130162334,1148.24890837035,1566.51890599318,2008.10538888887,2296.15669145796,1793.00995701476,895.395091862871,872.830145886921
"6","East",13890.1518959245,16438.9260950718,19306.6738292575,20611.2454785393,23164.9015736625,25221.0640264026,27208.3332313004,30313.8835479629,33030.9559231476,3399.29843749297,1450.12345016655,1301.94507067884,1237.42819634662,1495.06268621955,2324.37289380137,2470.48209900497,2854.51503403325,1870.61815643662
"7","London",14929.923047619,17435.4462252351,18503.9225503025,21341.4209215736,22357.5015583742,24649.5401093581,26888.2328408761,32461.6252072968,42334.6074779509,1387.39618085791,518.902863041249,1113.68576944379,1178.22161292215,1167.04582253899,1628.86144202407,2719.65297424367,4291.46450079242,4916.8763421612
"8","South East",13150.1345402911,15360.1661998914,18025.9831518029,19934.6620756103,21641.9948092125,23228.8879835752,25881.8733333333,29214.3967216617,32945.1343327182,1141.91395037539,1070.25689550658,1156.51571248086,1117.2666138754,1253.55461874461,1530.85994496376,2183.13677562459,2956.73417211041,2573.91266329154
"9","South West",9172.90719214209,13219.9544853517,15143.3579902303,15888.1591541219,18541.3255711507,20304.6059762042,22294.5491308494,24557.8820525669,26923.6456342443,4673.66208555418,1797.88200598577,1362.22458451579,1443.28979262134,1540.22665846494,1606.44554541966,1295.7242497297,1308.90764945614,1868.24838907672
"10","England",11306.8445900181,14703.5778268501,16649.1766013221,18549.8449082431,20606.375504888,22360.1395932859,24537.953075701,26776.1194029851,32599.791708126,NA,NA,NA,NA,NA,NA,NA,NA,NA
