"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_nohb",15288.2644522105,903.575277228516
"2","North West","hh_grossinc_nohb",14306.2806430937,786.326314173883
"3","Yorks & Humber","hh_grossinc_nohb",13988.2380311561,615.040131867345
"4","East Midlands","hh_grossinc_nohb",13332.6379535107,819.373440009615
"5","West Midlands","hh_grossinc_nohb",16397.2226366011,602.790177355899
"6","East","hh_grossinc_nohb",19440.1706840362,926.53485215318
"7","London","hh_grossinc_nohb",21895.5559506977,1043.08905187502
"8","South East","hh_grossinc_nohb",18918.4062643252,666.43318165425
"9","South West","hh_grossinc_nohb",15929.0084405176,799.119093348429
"10","England","hh_grossinc_nohb",18068.2709131093,409.301941189996
