"","region","category","svy_fun","SE"
"1","North","16 to 24",0.110070257611241,0.041154585857607
"2","North","25 to 34",0.305886026541764,0.0572258477943369
"3","North","35 to 44",0.210546448087432,0.0491864445467488
"4","North","45 to 54",0.24239656518345,0.0518395552376507
"5","North","55 to 64",0.131100702576112,0.0618249515271433
"6","West","16 to 24",0.279394151722789,0.0635425413712551
"7","West","25 to 34",0.289839249777981,0.056980677547688
"8","West","35 to 44",0.151250234240694,0.0443429768471848
"9","West","45 to 54",0.185241614183172,0.0445174912225998
"10","West","55 to 64",0.0942747500753644,0.0325539062923538
"11","East","16 to 24",0.157659645292893,0.0498921002825986
"12","East","25 to 34",0.313755544717713,0.055869708305627
"13","East","35 to 44",0.265054924638287,0.0512828922412419
"14","East","45 to 54",0.151876882107496,0.0401069624323011
"15","East","55 to 64",0.111653003243611,0.0326043786482332
"16","London and South East","16 to 24",0.133230244978022,0.0289978190654879
"17","London and South East","25 to 34",0.376166544965136,0.0479523060978838
"18","London and South East","35 to 44",0.308898529559154,0.0470891101385869
"19","London and South East","45 to 54",0.129559154102773,0.0252027905819724
"20","London and South East","55 to 64",0.0521455263949143,0.0153401667337045
"21","England","16 to 24",0.158090256970033,0.0214939991631762
"22","England","25 to 34",0.33823531428399,0.0288842758858976
"23","England","35 to 44",0.25732108843724,0.0274098494742262
"24","England","45 to 54",0.162706090953596,0.0185599953394622
"25","England","55 to 64",0.0836472493551408,0.0157794802723641
