"","region","category","svy_fun","SE"
"1","North","1+ self employed",0.130608899297424,0.0419726690051629
"2","North","Sing/couple all FT",0.344551131928181,0.0671501017863694
"3","North","Couple, 1 FT, 1 PT",0,0
"4","North","Couple, 1 FT, 1 not working",0.123302107728337,0.0427107764385414
"5","North","No FT, 1+ PT",0.401537861046058,0.0613591796966817
"6","West","1+ self employed",0.151013956671582,0.045090701712189
"7","West","Sing/couple all FT",0.39179709460065,0.0644622803899787
"8","West","Couple, 1 FT, 1 PT",0.0453082607526663,0.0262685833133507
"9","West","Couple, 1 FT, 1 not working",0.101868222296455,0.0412931331083581
"10","West","No FT, 1+ PT",0.310012465678646,0.0547747320619924
"11","East","1+ self employed",0.208117544144856,0.0497054573667817
"12","East","Sing/couple all FT",0.389465616944193,0.0590438571668177
"13","East","Couple, 1 FT, 1 PT",0.0117977658561509,0.0117425734900449
"14","East","Couple, 1 FT, 1 not working",0.132740348514054,0.0433768985799916
"15","East","No FT, 1+ PT",0.257878724540746,0.047129384938581
"16","London and South East","1+ self employed",0.2347112142198,0.04571565058735
"17","London and South East","Sing/couple all FT",0.31883008052252,0.0441690538178856
"18","London and South East","Couple, 1 FT, 1 PT",0.0754456623918724,0.0385696666141366
"19","London and South East","Couple, 1 FT, 1 not working",0.140280520794704,0.0277653450122426
"20","London and South East","No FT, 1+ PT",0.230732522071105,0.032927080935511
"21","England","1+ self employed",0.197556696484385,0.026240395482146
"22","England","Sing/couple all FT",0.348196854645148,0.0286920964732198
"23","England","Couple, 1 FT, 1 PT",0.0457899588798503,0.0195100514027488
"24","England","Couple, 1 FT, 1 not working",0.129476951146295,0.0183900488405832
"25","England","No FT, 1+ PT",0.278979538844322,0.0232814655673874
