"","region","category","svy_fun","SE"
"1","North","No school age kids",0.71655737704918,0.0528215455999093
"2","North","Has school age kids",0.28344262295082,0.0528215455999093
"3","West","No school age kids",0.62488899028003,0.0606093382443187
"4","West","Has school age kids",0.37511100971997,0.0606093382443187
"5","East","No school age kids",0.671396610851777,0.0524229704324055
"6","East","Has school age kids",0.328603389148223,0.0524229704324055
"7","London and South East","No school age kids",0.575152842804576,0.0452151212199639
"8","London and South East","Has school age kids",0.424847157195424,0.0452151212199639
"9","England","No school age kids",0.625412593300596,0.0270936231674892
"10","England","Has school age kids",0.374587406699404,0.0270936231674892
