"","region","category","svy_fun","SE"
"1","North","Helps outside",0.0341139734582358,0.0195635680196275
"2","North","Doesn't",0.965886026541764,0.0195635680196275
"3","West","Helps outside",0.0777353202375812,0.0326438813196357
"4","West","Doesn't",0.922264679762419,0.0326438813196357
"5","East","Helps outside",0.0424688605556717,0.0272267140863034
"6","East","Doesn't",0.957531139444328,0.0272267140863034
"7","London and South East","Helps outside",0.0979683003307418,0.0352591873066152
"8","London and South East","Doesn't",0.902031699669258,0.0352591873066152
"9","England","Helps outside",0.0735146298350724,0.0189445422690013
"10","England","Doesn't",0.926485370164928,0.0189445422690013
