"","region","category","svy_fun","SE"
"1","North","Full-time",0.34175644028103,0.0596668098580201
"2","North","Part-time",0.332607338017174,0.0569757758348778
"3","North","FT self-employed",0.106916471506635,0.0392221197178307
"4","North","PT self-employed",0.0486260733801717,0.0283745502033147
"5","North","Unemployed",0.150936768149883,0.0646048388789531
"6","North","Student",0,0
"7","North","Family home",0.0105464480874317,0.0105258255792511
"8","North","Disabled",0,0
"9","North","Other",0.00861046057767369,0.00861031092312697
"10","West","Full-time",0.456634918565714,0.0647343179837013
"11","West","Part-time",0.307030479806415,0.0548534569648773
"12","West","FT self-employed",0.127003267148456,0.0431273762372298
"13","West","PT self-employed",0.0293147135745537,0.0168954385213456
"14","West","Unemployed",0.0505552522874113,0.0263920860704854
"15","West","Student",0.0184785354049716,0.0182879042024546
"16","West","Family home",0.0109828332124787,0.0109524017363448
"17","West","Disabled",0,0
"18","West","Other",0,0
"19","East","Full-time",0.46714972479621,0.0597397151366907
"20","East","Part-time",0.273485217956757,0.0525875510880653
"21","East","FT self-employed",0.121438026893332,0.037040358660946
"22","East","PT self-employed",0.0682087368494391,0.0254711550384809
"23","East","Unemployed",0.0413154044450637,0.0244620682354696
"24","East","Student",0.0284028890591978,0.021002389794207
"25","East","Family home",0,0
"26","East","Disabled",0,0
"27","East","Other",0,0
"28","London and South East","Full-time",0.486405223143336,0.0482529419882745
"29","London and South East","Part-time",0.185556175994731,0.0297526470425987
"30","London and South East","FT self-employed",0.227441547470756,0.0454248391217662
"31","London and South East","PT self-employed",0.0464527583293959,0.0143154539502501
"32","London and South East","Unemployed",0.00656329195481294,0.00655083904034436
"33","London and South East","Student",0.0350500408058073,0.0144072542523707
"34","London and South East","Family home",0,0
"35","London and South East","Disabled",0.00458170468049769,0.0045820993810304
"36","London and South East","Other",0.00794925762066349,0.00792312832417037
"37","England","Full-time",0.452573882826931,0.0299522503504587
"38","England","Part-time",0.247409250043539,0.0223459094337261
"39","England","FT self-employed",0.170587017246983,0.0254765544806032
"40","England","PT self-employed",0.0478039134483132,0.0100299579340765
"41","England","Unemployed",0.0454850259657803,0.0143175464593243
"42","England","Student",0.024926326298049,0.00842350924616195
"43","England","Family home",0.00370116931718294,0.00261684651103678
"44","England","Disabled",0.00219409815023813,0.00219326177180687
"45","England","Other",0.00531931670298356,0.00408688507926881
