"","region","category","svy_fun","SE"
"1","North","Not Single parent head",0.764824355971897,0.0474436293025152
"2","North","Single parent head ",0.235175644028103,0.0474436293025152
"3","West","Not Single parent head",0.782217261298549,0.0457443359770871
"4","West","Single parent head ",0.217782738701451,0.0457443359770871
"5","East","Not Single parent head",0.850275203790148,0.0354218450746025
"6","East","Single parent head ",0.149724796209852,0.0354218450746025
"7","London and South East","Not Single parent head",0.839961055510216,0.0267121695728736
"8","London and South East","Single parent head ",0.160038944489784,0.0267121695728736
"9","England","Not Single parent head",0.818870341141123,0.0183481146122203
"10","England","Single parent head ",0.181129658858877,0.0183481146122203
