"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_earn",7472.38146639511,2128.35581799079
"2","North West","hh_grossinc_earn",6256.66404431244,1037.80696961963
"3","Yorks & Humber","hh_grossinc_earn",5505.33994585815,1554.01150175989
"4","East Midlands","hh_grossinc_earn",6747.19886307562,1207.8289053491
"5","West Midlands","hh_grossinc_earn",8230.71482675262,1468.41791481652
"6","East","hh_grossinc_earn",10080.3669664009,1144.26478526941
"7","London","hh_grossinc_earn",12143.361522365,1565.69791914729
"8","South East","hh_grossinc_earn",10531.2110915317,1007.47770096174
"9","South West","hh_grossinc_earn",7303.41874495533,1048.81166670898
"10","England","hh_grossinc_earn",9479.96626025569,609.826570050431
