"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,284.469234174414,3629.96370075255,4962.88165210485,5504.96490108488,5672.67065868263,5890.22136422136,11446.5187319885,16891.3832853026,1125.14042329688,1344.53904094675,1437.06709968602,1510.10038978051,2950.56149027186,3505.68624083917,3527.78349717063,3408.92006814145,3381.19432154563
"2","North West",0,0,0,2744.37735849057,5247.61616161616,5876,8249.49113475177,13087.776,15600,0,91.2601384851759,1216.36370332923,1453.12707191636,1981.63148622895,2010.98696343007,2171.59771800794,2290.66851183429,1242.14998675788
"3","Yorks & Humber",0,0,0,0,0,6566.84736842105,7554.72784810127,13802.6068515498,15355.5453983941,0,0,776.954728146797,1803.12161249404,3039.94798065304,3811.44363049076,3947.45969509811,2322.31112935555,905.951316406221
"4","East Midlands",0,0,0,4675.061003861,5664.38410596026,8281.13791083632,10434.4870798643,12644.4312138728,14745.7465977606,0,793.230547250934,1326.5549880041,2072.52425355107,2659.66270985821,2044.79013416748,2268.81536319018,1614.90881184948,1418.29495841577
"5","West Midlands",0,0,552.575736806032,5151.39677419355,6187.75355450237,10942.0132061629,13945.3781965007,16106.3584415584,17771.8247375628,0,1120.49145518902,1431.61629365478,2633.14277299422,3387.20510995112,2776.65159171348,2904.65197860999,1465.81986212418,886.000281473657
"6","East",0,0,5145.74355628059,7162.89514403292,9372.42821576763,13706.2920634921,15536.4062608696,17570.3552631579,19704.035359116,0,1422.15072628655,1951.57635591985,2874.95936461614,1989.4378204258,2416.84888715039,1589.8416711221,1764.23491338964,2063.20208231504
"7","London",0,0,2321.31449170872,6300.69267431598,9828,17506.2370552147,19564.7671023271,23953.3370483239,27375.9216208558,0,1138.83198928081,1952.64194917563,2940.69818308893,3224.73883587679,2887.29901770663,2336.57300002887,2052.1260314501,1327.98453033808
"8","South East",0,0,4867.14057142857,7752.66064924782,11005.4803548796,13000,16077.6067405765,18571.3308444445,21914.0427672956,0,1272.21108372634,1988.72032984086,2092.13825303938,1619.37496434129,1394.47264228896,1879.80785889391,1487.94132145319,850.617078207866
"9","South West",0,0,3424.50441458733,4297.97243172952,5732.53122251539,9284.72682926829,11031.3866883778,12895.0641509434,16906.5046001415,0,1021.81964863486,1326.5549880041,1598.41713592838,1702.18868829166,1573.57554277821,2270.2669572078,1779.58180556657,1770.38361499244
"10","England",0,0,646.909938313911,5361.81328903655,7696,11636.404088586,14924,17940,21944,NA,NA,NA,NA,NA,NA,NA,NA,NA
