"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,437.957961866338,4586.71559105152,5552.99002993003,7577.14427225709,8466.67262489945,8780.00875664282,14079.7954973221,24705.8056631283,1360.60480879791,1499.35691726862,2150.64827119029,2224.17954219351,3665.07042691905,5312.15015104198,5752.18528126599,5087.94040021112,5046.55868887408
"2","North West",0,0,0,3941.36967146646,5003.87182910547,7337.62411347518,8987.01664093326,15341.5573411249,17881.0047304005,0,136.209161918173,1245.4672749564,1579.85865712546,2227.25181548165,1534.32490110402,2515.12110526603,2819.19073081904,2771.51672587531
"3","Yorks & Humber",0,0,0,0,0,7644.89232602866,11275.7132061213,18399.6177883204,22750.4103350318,0,0,776.954728146797,2691.22628730454,3094.35744545601,5203.37630043982,5812.95587588402,3463.27353158321,1682.24597428925
"4","East Midlands",0,0,0,3557.02149178255,7718.9863322979,9341.65007708912,11343.9964393718,13718.9884582257,15030.1628159779,0,505.047431383521,1955.34485302831,2291.83502441927,2890.25901561415,2596.88920889802,1846.08544577599,2488.03537815855,3340.93838647784
"5","West Midlands",0,0,552.575736806032,5004.41892111689,7997.75173850076,11419.5424905927,15215.3954869588,18310.5625650179,22277.1216572356,0,1051.22342576365,1829.43251678876,2870.6696784482,3698.41011328094,3386.14829665406,3371.50639685109,3062.33079037754,2514.70002259343
"6","East",0,0,5288.00212781794,7038.37997054492,9341.72413793103,13149.9065667166,20095.6032693674,23632.3792800702,26743.0593409763,0,1455.11828985964,2011.00718775239,2679.09318213177,2500.6276964113,3387.46426642739,3868.27752612724,2890.23233797834,2486.18449900329
"7","London",0,0,2270.03436605554,6035.79122679036,9412.62583248398,15680.029702104,24087.3327653948,27885.5421535373,35713.2272464408,0,836.287341184507,1714.17340307079,2836.05735111885,3041.62526191396,4597.66913697177,3774.41969592268,4587.53001019193,3254.68274091215
"8","South East",0,0,3496.14223414754,6706.3050093633,11351.7547420253,13252.7684062059,16967.1553228621,19402.9850746269,23975.2295190713,0,893.258069579486,1716.87386393615,2163.16618764454,1773.90341453714,1695.61101248794,1990.28731582068,1840.62104949368,4048.12966465754
"9","South West",0,0,3198.03711129992,5400.90251557165,6062.12715763903,8682.07687403838,16464.7562513101,16928.2448690729,19273.7031822022,0,1221.47123214843,1515.16151994449,1831.16488296022,2321.31596940971,2754.02640164866,3042.94242803118,1949.64422471496,2919.39925156088
"10","England",0,0,646.909938313911,5819.11778092506,8382.08955223881,11695.3748844522,16484,21439.1671933492,27611.8369690011,NA,NA,NA,NA,NA,NA,NA,NA,NA
