"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_nohb",10840.1242535642,1945.6873401788
"2","North West","hh_grossinc_nohb",13586.9528487479,919.832524715647
"3","Yorks & Humber","hh_grossinc_nohb",10731.3567534726,1283.40817392848
"4","East Midlands","hh_grossinc_nohb",12547.4902659556,900.202648705812
"5","West Midlands","hh_grossinc_nohb",12762.3552898679,1177.17855808773
"6","East","hh_grossinc_nohb",16776.6239221177,718.972381575831
"7","London","hh_grossinc_nohb",21524.627540699,944.859514904835
"8","South East","hh_grossinc_nohb",17859.1257803038,710.687580016334
"9","South West","hh_grossinc_nohb",13725.8012867743,852.020678466636
"10","England","hh_grossinc_nohb",16757.6289213197,460.944957231342
