"","region","category","svy_fun","SE"
"1","North","16 to 24",0.192119157900423,0.0456000753576804
"2","North","25 to 34",0.326117780508555,0.0556493345187553
"3","North","35 to 44",0.17210646428909,0.0429974476835961
"4","North","45 to 54",0.181032503747316,0.0436802491106895
"5","North","55 to 64",0.128624093554616,0.0716403937559484
"6","West","16 to 24",0.154313508681127,0.0503675882131457
"7","West","25 to 34",0.33667011715993,0.0614363798497528
"8","West","35 to 44",0.221009975062344,0.0427489679486961
"9","West","45 to 54",0.227838422810897,0.04689686405677
"10","West","55 to 64",0.0601679762857008,0.0227655284056315
"11","East","16 to 24",0.136356892670309,0.0531774687100606
"12","East","25 to 34",0.356705606120224,0.0573285091128261
"13","East","35 to 44",0.355931547407871,0.0521045535861798
"14","East","45 to 54",0.0689428293136034,0.0246032174891171
"15","East","55 to 64",0.0820631244879924,0.0256696893749797
"16","London and South East","16 to 24",0.0609004122262675,0.0190622346226598
"17","London and South East","25 to 34",0.442278495939154,0.0464964787681082
"18","London and South East","35 to 44",0.281404615558471,0.035981124964623
"19","London and South East","45 to 54",0.144858963587499,0.0244716691825245
"20","London and South East","55 to 64",0.0705575126886095,0.0206034473044072
"21","England","16 to 24",0.114312980351391,0.0182059530293775
"22","England","25 to 34",0.387262202984498,0.0289386457033426
"23","England","35 to 44",0.264474020551797,0.0220361500086335
"24","England","45 to 54",0.153603380992144,0.0169641277391877
"25","England","55 to 64",0.0803474151201695,0.0170383750182329
