"","region","category","svy_fun","SE"
"1","North","Couple + kids",0.0713137887729059,0.0291685609623956
"2","North","Couple",0.147644254790488,0.0422127155977278
"3","North","Lone parent",0.235446234453702,0.0460810235856176
"4","North","Single",0.545595721982904,0.0628246471298018
"5","West","Couple + kids",0.202224391850562,0.0423068308029858
"6","West","Couple",0.179792264621465,0.063155873135918
"7","West","Lone parent",0.199066014209759,0.0390957210585236
"8","West","Single",0.418917329318214,0.0592648492887859
"9","East","Couple + kids",0.252472150012578,0.0482297464827264
"10","East","Couple",0.0682010230475982,0.0238886109308176
"11","East","Lone parent",0.192759970843788,0.0380462471080239
"12","East","Single",0.486566856096035,0.0588691934829913
"13","London and South East","Couple + kids",0.301355089446713,0.0369635342078298
"14","London and South East","Couple",0.119599663929956,0.0262794809327414
"15","London and South East","Lone parent",0.144406939551612,0.0237493832576776
"16","London and South East","Single",0.43463830707172,0.0467869918160034
"17","England","Couple + kids",0.234890339292105,0.0213926051331187
"18","England","Couple",0.12689286140318,0.0195058973178353
"19","England","Lone parent",0.178799497849957,0.0169381986036493
"20","England","Single",0.459417301454758,0.0287041557881026
