"","region","category","svy_fun","SE"
"1","North","Employed",1,0
"2","North","Family worker",0,0
"3","West","Employed",0.99311861854797,0.00688497247788249
"4","West","Family worker",0.0068813814520303,0.00688497247788249
"5","East","Employed",1,0
"6","East","Family worker",0,0
"7","London and South East","Employed",0.983338983633782,0.0129877209891602
"8","London and South East","Family worker",0.0166610163662181,0.0129877209891602
"9","England","Employed",0.990965843572309,0.00617678570527295
"10","England","Family worker",0.00903415642769096,0.00617678570527295
