"","region","category","svy_fun","SE"
"1","North","No carer",0.960946889390031,0.0195171525500815
"2","North","Has carer",0.0390531106099685,0.0195171525500815
"3","West","No carer",0.882869477250271,0.0313156579904442
"4","West","Has carer",0.117130522749729,0.0313156579904442
"5","East","No carer",0.913653750636986,0.027927385191639
"6","East","Has carer",0.0863462493630142,0.027927385191639
"7","London and South East","No carer",0.974964255708032,0.0102798267511815
"8","London and South East","Has carer",0.0250357442919682,0.0102798267511815
"9","England","No carer",0.944018222820561,0.0097980386666566
"10","England","Has carer",0.0559817771794391,0.0097980386666566
