"","region","category","svy_fun","SE"
"1","North","No disabled",0.800993882759645,0.0462434642254797
"2","North","Has disabled person",0.199006117240355,0.0462434642254797
"3","West","No disabled",0.724868253893568,0.0507722459173272
"4","West","Has disabled person",0.275131746106432,0.0507722459173272
"5","East","No disabled",0.862269153115264,0.0329375266290754
"6","East","Has disabled person",0.137730846884736,0.0329375266290754
"7","London and South East","No disabled",0.806138191609058,0.0322983145474061
"8","London and South East","Has disabled person",0.193861808390942,0.0322983145474061
"9","England","No disabled",0.799460359116807,0.0204391528662321
"10","England","Has disabled person",0.200539640883193,0.0204391528662321
